"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005667"	"transcription factor complex"	"17.138"	"-17.138"
"GO:0000118"	"histone deacetylase complex"	"15.362"	"-15.362"
"GO:0017053"	"transcriptional repressor complex"	"14.434"	"-14.434"
"GO:0005654"	"nucleoplasm"	"14.216"	"-14.216"
"GO:0016342"	"catenin complex"	"13.642"	"-13.642"
"GO:0000790"	"nuclear chromatin"	"10.552"	"-10.552"
"GO:0005634"	"nucleus"	"10.116"	"-10.116"
"GO:0016592"	"mediator complex"	"10.052"	"-10.052"
"GO:0044798"	"nuclear transcription factor complex"	"9.679"	"-9.679"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"8.963"	"-8.963"
"GO:0019005"	"SCF ubiquitin ligase complex"	"8.915"	"-8.915"
"GO:0032993"	"protein-DNA complex"	"7.979"	"-7.979"
"GO:0035097"	"histone methyltransferase complex"	"7.926"	"-7.926"
"GO:0005719"	"nuclear euchromatin"	"7.368"	"-7.368"
"GO:0032991"	"macromolecular complex"	"6.702"	"-6.702"
"GO:0016328"	"lateral plasma membrane"	"6.344"	"-6.344"
"GO:0000123"	"histone acetyltransferase complex"	"6.258"	"-6.258"
"GO:0005737"	"cytoplasm"	"6.012"	"-6.012"
"GO:0000307"	"cyclin-dependent protein kinase holoenzyme complex"	"5.731"	"-5.731"
"GO:0030666"	"endocytic vesicle membrane"	"5.708"	"-5.708"
"GO:0016605"	"PML body"	"5.633"	"-5.633"
"GO:0000785"	"chromatin"	"5.48"	"-5.48"
"GO:0005913"	"cell-cell adherens junction"	"5.451"	"-5.451"
"GO:0005680"	"anaphase-promoting complex"	"5.302"	"-5.302"
"GO:0016363"	"nuclear matrix"	"5.132"	"-5.132"
"GO:0005637"	"nuclear inner membrane"	"5.095"	"-5.095"
"GO:0016604"	"nuclear body"	"4.946"	"-4.946"
"GO:0000151"	"ubiquitin ligase complex"	"4.867"	"-4.867"
"GO:0022627"	"cytosolic small ribosomal subunit"	"4.806"	"-4.806"
"GO:0005912"	"adherens junction"	"4.744"	"-4.744"
"GO:0005876"	"spindle microtubule"	"4.583"	"-4.583"
"GO:0097431"	"mitotic spindle pole"	"4.314"	"-4.314"
"GO:0080008"	"Cul4-RING E3 ubiquitin ligase complex"	"4.067"	"-4.067"
"GO:0043235"	"receptor complex"	"4.035"	"-4.035"
"GO:0005720"	"nuclear heterochromatin"	"3.867"	"-3.867"
"GO:0000792"	"heterochromatin"	"3.846"	"-3.846"
"GO:0005741"	"mitochondrial outer membrane"	"3.599"	"-3.599"
"GO:0005923"	"bicellular tight junction"	"3.409"	"-3.409"
