"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0003924"	"GTPase activity"	"-8.838"	"8.838"
"GO:0005525"	"GTP binding"	"-7.978"	"7.978"
"GO:0004930"	"G-protein coupled receptor activity"	"-7.942"	"7.942"
"GO:0003743"	"translation initiation factor activity"	"-5.287"	"5.287"
"GO:0005200"	"structural constituent of cytoskeleton"	"-4.846"	"4.846"
"GO:0005484"	"SNAP receptor activity"	"-4.483"	"4.483"
"GO:0005179"	"hormone activity"	"-4.412"	"4.412"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"-4.272"	"4.272"
"GO:0003899"	"DNA-directed RNA polymerase activity"	"-4.263"	"4.263"
"GO:0001664"	"G-protein coupled receptor binding"	"-4.077"	"4.077"
"GO:0016887"	"ATPase activity"	"-3.952"	"3.952"
"GO:0004497"	"monooxygenase activity"	"-3.864"	"3.864"
"GO:0051015"	"actin filament binding"	"-3.864"	"3.864"
"GO:0003823"	"antigen binding"	"-3.833"	"3.833"
"GO:0000149"	"SNARE binding"	"-3.782"	"3.782"
"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"-3.734"	"3.734"
"GO:0008528"	"G-protein coupled peptide receptor activity"	"-3.697"	"3.697"
"GO:0034987"	"immunoglobulin receptor binding"	"-3.669"	"3.669"
"GO:0019003"	"GDP binding"	"-3.478"	"3.478"
"GO:0030594"	"neurotransmitter receptor activity"	"-3.451"	"3.451"
"GO:0042623"	"ATPase activity, coupled"	"-3.351"	"3.351"
"GO:0019825"	"oxygen binding"	"-3.346"	"3.346"
"GO:0008135"	"translation factor activity, RNA binding"	"-3.278"	"3.278"
"GO:0005198"	"structural molecule activity"	"-3.265"	"3.265"
"GO:0004993"	"G-protein coupled serotonin receptor activity"	"-3.23"	"3.23"
"GO:0000175"	"3'-5'-exoribonuclease activity"	"-3.158"	"3.158"
"GO:0070330"	"aromatase activity"	"-3.091"	"3.091"
