SN,NAME,Gene
114480,Breast,RAD54L
114480,Breast,CASP8
114480,Breast,BARD1
114480,Breast,PIK3CA
114480,Breast,HMMR
114480,Breast,NQO2
114480,Breast,ESR1
114480,Breast,RB1CC1
114480,Breast,SLC22A18
114480,Breast,ATM
114480,Breast,KRAS
114480,Breast,BRCA2
114480,Breast,XRCC3
114480,Breast,AKT1
114480,Breast,RAD51
114480,Breast,PALB2
114480,Breast,CDH1
114480,Breast,TP53
114480,Breast,PHB
114480,Breast,PPM1D
114480,Breast,BRIP1
114480,Breast,CHEK2
114500,Colorectal,PLA2G2A
114500,Colorectal,NRAS
114500,Colorectal,ODC1
114500,Colorectal,CTNNB1
114500,Colorectal,PIK3CA
114500,Colorectal,FGFR3
114500,Colorectal,TLR2
114500,Colorectal,APC
114500,Colorectal,MCC
114500,Colorectal,PTPN12
114500,Colorectal,DLC1
114500,Colorectal,PDGFRL
114500,Colorectal,RAD54B
114500,Colorectal,PTPRJ
114500,Colorectal,CCND1
114500,Colorectal,MLH3
114500,Colorectal,AKT1
114500,Colorectal,BUB1B
114500,Colorectal,TP53
114500,Colorectal,FLCN
114500,Colorectal,AXIN2
114500,Colorectal,DCC
114500,Colorectal,BAX
114500,Colorectal,SRC
114500,Colorectal,ARUKA
114500,Colorectal,EP300
