"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","MTOR_UP.N4.V1_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","EIF4E_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
"IGFBP6","RRP1B","FGG","CYP1A1","TOP2A","TK1","AVPR2","SNRPC","SMAD7","TCF19","SAA1","FABP5","FABP4","MYL9","MYB","DKK1","SH3BGR","MMP1","SDC4","CYP24A1","ENO2","HSPA6","FOS","NUAK2","TNFRSF11B","CYP1A1","ENPEP","PMEPA1","SERPINB2","SLC6A15","KIAA0319L","CHAC1","IGLV2-14","ADM","TTR","OTX2","SLC39A8","DNAJB5","EGR1","EGR2","VDR","FOS","LARP6","SEMA3C","MTO1","RND3","MPEG1","FABP4","GPR25","IL1RL1","FZD6","SLC11A2","IL13RA2","IL13RA2","IL13RA2","IL1RL1","IL1RL1","FGF9","IL13RA2","IL1RL1","APOBEC3G","RBP1"
"HLA-DQB1","HES1","GBP1","CEACAM5","TINF2","E2F8","PIGO","COX17","HBEGF","CXCL12","PRSS37","MSMO1","LRRC17","MN1","FGF20","FGF20","CLDN1","FOXG1","KRT86","FOXQ1","SBK1","TMEM201","TMEFF2","SESN2","CEACAM6","CEACAM5","S100A9","DNAJC12","HIST1H2BC","NTSR1","CDADC1","ASNS","IRGC","MYB","AFP","RASAL2","CA14","PPCS","EGR2","EGR1","LYL1","ARC","HCAR3","CNP","XPC","GJA1","FABP4","RND3","SPINK1","MMP1","TMED5","ECD","A2M","A2M","A2M","IL13RA2","IGFBP3","CDR1","CXCL5","IL13RA2","NES","NELL2"
"CCND2","ADCY6","TNFRSF11B","FAM129A","MYB","DDX39A","C1orf95","PKD1","FOXD1","FEN1","ARG1","CYP51A1","MMP10","CCL2","GCNT1","LY6G6D","ARSJ","KISS1","POLD2","EEF2","CCNE2","RRP9","TONSL","RNF41","GALNT12","AKR1B10","VGLL1","MTMR8","DCP2","CCDC68","GGT5","CTSG","IFIT2","NDRG1","S100G","GATAD2B","FOXA2","TALDO1","IL10","IL10","AATK","TFPI2","ANK1","FAF2","INPP5D","FABP4","RND3","PTPRO","CD247","IL13RA2","TRAPPC2","APOE","SCG5","SCG5","SCG5","HSD11B1","DHRS9","RTN1","MMP1","HSD11B1","REEP2","MSN"
"PTH1R","CHAF1B","FGB","TNFRSF11B","SGOL1","MCM5","NUDCD3","MAD1L1","GATA2","GINS3","GSDMC","TNFRSF12A","PTGS2","FGA","NEDD9","BIK","LHX6","GSTT2","TCF7L2","ZNF703","TMEM155","GEMIN5","SRC","HMGB2","GAGE3","FAM105A","HSD3B1","OSGIN1","HIST1H2AC","C13orf15","DNAJC12","SLC7A11","SMA4","C1orf210","APOC2","GADD45G","CYP26A1","NDRG1","OSM","OSM","LOC654096","DUSP5","BHMT","KIAA1033","FCAR","MMP1","P2RY14","CCL4","NELL2","CCL20","EPB41L4B","FKBP14","IL1RL1","IL1RL1","IL1RL1","PPBP","ZP4","NRCAM","IL1RL1","PPBP","HABP2","KRT23"
"TXNDC12","VPS37B","GJA1","DUSP4","MCM10","MCM4","GRIN2C","PLK3","BCAR3","ZWILCH","PSCA","FAM3B","AMPH","ICAM1","LEF1","WNT11","GPER","NEFL","AKR1B1","AXIN2","MMP15","DUSP2","SH3BGR","MTHFD2","GAGE7","KIAA1199","PPARG","RIPK4","ANKRD46","PMEPA1","TOM1L2","VLDLR","TTC18","RAB3IL1","CITED1","RAI1","APOA1","FBXO4","TLR3","MAFF","MYOZ1","EGR1","ITGB6","SIAE","ZFP36L2","TDO2","PTPRO","PID1","TDRD1","SRPX","GCH1","MAP3K4","ITGA2","ITGA2","ITGA2","SCG5","PPBP","PCP4","HSD11B1","SCG5","AICDA","IGFBP7"
"M6PR","GRSF1","DUSP6","CYP1B1","ADCY6","TOP2A","EFNA5","PPIB","SPRY4","MT1H","TNFRSF12A","IDI1","OSBPL8","TAGLN","LMO2","ETV5","DECR2","WNT5B","KCNJ9","CD151","CDKN2C","RRP12","LOC644951","IFRD1","SGPP1","COL5A2","CSGALNACT1","LOC643326","HIST2H2BE","ANGPTL4","LOC155060","PCK2","MAPK8IP2","CDHR1","TINAGL1","PHF21A","TTR","MRPS35","MAFF","C13orf15","CLSTN3","NAB2","PAIP2B","MAML2","SLCO1A2","HMOX1","MAFB","TWF1","C8orf59","BMP2","ACVR1","IGFBP3","C11orf41","C11orf41","C11orf41","CXCL5","CRCT1","GATM","CSF3","CXCL5","CEL","KRT5"
"PPT2","TLX2","S100A9","UPK2","PRC1","HNRNPA3","ESRRB","CXCR3","ID3","MT2A","DHCR24","LDLR","ZNF674","TMEM8B","DYNC1I1","LMO2","PLEKHA2","ARSJ","PRSS29P","CAPS","SYNM","UBIAD1","FMN2","LETMD1","VTCN1","SGPP1","C8orf4","KIAA0319L","PMEPA1","GPR37","RPL3L","KIF21B","ZNF117","NARF","APOA1","ENG","CITED1","LAMC3","DUSP6","TLR3","IQCG","SNRNP35","SKIL","C8orf48","HTRA2","ASPH","TFPI","MPEG1","PNMA3","SLC26A2","IGF1R","CHEK2","FGF9","FGF9","FGF9","MMP10","MMP10","ETV1","NELL2","MMP10","ETV5","CCND2"
"STAU1","SSX2IP","ADM","DAB2","RLIM","UNG","CCDC88C","PTMS","MAP2K3","UHRF1","TESC","TFRC","ASCC3","DDIT3","SLC3A2","ENPP2","C8orf4","IL32","SLC7A2","RPL37A","CD83","ADCK3","IMP5","ATF4","AOX1","ALDH1A3","TSPAN12","CD5L","ANGPTL4","ASPN","SCTR","BCHE","MDK","NAGLU","APOM","POU3F1","S100G","STRA13","EGR3","DUSP6","FOSB","RNF19B","RNASE4","DDB2","S100A14","CLEC2B","CLDN1","GNG11","NPHS1","INHBA","DNMT3B","ARL4C","G0S2","G0S2","G0S2","MMP1","IL1R2","SNAP91","NAV3","MMP1","ITGB2","ANO1"
"IGJ","DNA2","ITGB6","CEACAM6","FIP1L1","FAM60A","TICAM1","ZYX","NRIP1","GMNN","TMEM40","PSAT1","TFPI2","PKD1","RUNX1","DEFA5","IL8","SH3BGR","ISLR","MYL9","ABHD15","PRR3","CLDN9","BLCAP","SERPINA1","CYP1B1","SGCE","SLPI","ZNF226","ANKRD46","KRT81","ATF3","C1orf105","GIMAP3P","FGB","LTF","TCN2","TMEM11","C13orf15","EGR3","CDH3","CDKN1A","THPO","ARHGEF10","SETDB1","SCG2","CCL4","P2RY14","EFCAB6","HCLS1","PCLO","LRPAP1","CALB1","CALB1","CALB1","CSF3","NR1H4","SEPP1","NPHS1","CSF3","TPK1","ELOVL5"
"TMOD3","CMA1","DUSP4","KIAA1199","GNL3","C1orf174","FGFR2","WNT1","UGDH","TRIP13","SAA2","CDK1","NUCB2","SMG6","QPCT","QPCT","C10orf116","CD19","CHRNB2","ACTN4","ZDHHC23","KLF16","NUDT4P1","IFIT2","FGFR4","UPK3B","BLNK","CDADC1","ARL4C","IL15RA","PPIEL","TM6SF1","GABRB2","HEY1","GKN2","DEPTOR","FGF5","FBXL13","FUT5","FOS","PAX1","CCNE1","HLX","FLJ27352","C7orf10","PTPRO","TFPI2","ASPH","ZNF835","TSPAN5","RB1","TEX10","HSD11B1","HSD11B1","HSD11B1","NAV3","IL37","SCG3","MAGEA6","NAV3","FAM155B","PLTP"
