"GLI1_UP.V1_DN","GLI1_UP.V1_UP","E2F1_UP.V1_DN","E2F1_UP.V1_UP","EGFR_UP.V1_DN","EGFR_UP.V1_UP","ERB2_UP.V1_DN","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_DN","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_DN","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_DN","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_DN","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_DN","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_DN","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_DN","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_DN","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_DN","AKT_UP.V1_UP","MTOR_UP.V1_DN","MTOR_UP.V1_UP","PIGF_UP.V1_DN","PIGF_UP.V1_UP","VEGF_A_UP.V1_DN","VEGF_A_UP.V1_UP","BCAT_GDS748_DN","BCAT_GDS748_UP","BCAT.100_UP.V1_DN","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_DN","ATF2_S_UP.V1_UP","ATF2_UP.V1_DN","ATF2_UP.V1_UP","WNT_UP.V1_DN","WNT_UP.V1_UP","ATM_DN.V1_DN","ATM_DN.V1_UP","P53_DN.V2_DN","P53_DN.V2_UP","RELA_DN.V1_DN","RELA_DN.V1_UP","P53_DN.V1_DN","P53_DN.V1_UP","BCAT_BILD_ET_AL_DN","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_DN","E2F3_UP.V1_UP","MYC_UP.V1_DN","MYC_UP.V1_UP","SRC_UP.V1_DN","SRC_UP.V1_UP","SNF5_DN.V1_DN","SNF5_DN.V1_UP","CAMP_UP.V1_DN","CAMP_UP.V1_UP","LTE2_UP.V1_DN","LTE2_UP.V1_UP","MEK_UP.V1_DN","MEK_UP.V1_UP","RAF_UP.V1_DN","RAF_UP.V1_UP","PRC1_BMI_UP.V1_DN","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_DN","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_DN","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_DN","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_DN","JNK_DN.V1_UP","BRCA1_DN.V1_DN","BRCA1_DN.V1_UP","CTIP_DN.V1_DN","CTIP_DN.V1_UP","PKCA_DN.V1_DN","PKCA_DN.V1_UP","MTOR_UP.N4.V1_DN","MTOR_UP.N4.V1_UP","PTEN_DN.V2_DN","PTEN_DN.V2_UP","DCA_UP.V1_DN","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_DN","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_DN","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_DN","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_DN","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_DN","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_DN","BMI1_DN.V1_UP","MEL18_DN.V1_DN","MEL18_DN.V1_UP","PTEN_DN.V1_DN","PTEN_DN.V1_UP","NOTCH_DN.V1_DN","NOTCH_DN.V1_UP","EIF4E_DN","EIF4E_UP","CRX_DN.V1_DN","CRX_DN.V1_UP","CRX_NRL_DN.V1_DN","CRX_NRL_DN.V1_UP","NRL_DN.V1_DN","NRL_DN.V1_UP","RB_DN.V1_DN","RB_DN.V1_UP","RB_P107_DN.V1_DN","RB_P107_DN.V1_UP","RB_P130_DN.V1_DN","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_DN","RPS14_DN.V1_UP","IL15_UP.V1_DN","IL15_UP.V1_UP","IL2_UP.V1_DN","IL2_UP.V1_UP","IL21_UP.V1_DN","IL21_UP.V1_UP","PDGF_ERK_DN.V1_DN","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_DN","PDGF_UP.V1_UP","TGFB_UP.V1_DN","TGFB_UP.V1_UP","YAP1_DN","YAP1_UP","SIRNA_EIF4GI_DN","SIRNA_EIF4GI_UP","HOXA9_DN.V1_DN","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_DN","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_DN","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_DN","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_DN","KRAS.DF.V1_UP","TBK1.DF_DN","TBK1.DF_UP","TBK1.DN.48HRS_DN","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_DN","JAK2_DN.V1_UP","KRAS.300_UP.V1_DN","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_DN","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_DN","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_DN","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_DN","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_DN","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_DN","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_DN","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_DN","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_DN","LEF1_UP.V1_UP"
"COPZ1","IGFBP6","TGFB1I1","RRP1B","NPY1R","FGG","NPY1R","CYP1A1","SRRM2","TOP2A","GNPTAB","TK1","GPT","AVPR2","ICAM1","ARHGDIA","NOS1","KLK6","TOB2","SNRPC","PDE5A","SMAD7","MSMO1","TCF19","KCNN4","SAA1","KCNK3","SAA1","KCNK3","FABP5","IGHA2","FABP4","FABP4","MYL9","LIN28A","MYB","LOC654056","DKK1","IGFBP2","SH3BGR","CHI3L1","MMP1","ST3GAL2","SDC4","PAX1","QTRT1","RAB4B","CCL20","BMPR1B","FOS","ACTA2","F3","EFR3A","CYP24A1","TGM5","ENO2","ZNF236","HSPA6","PLAT","FOS","MMP13","GBP1","KBTBD11","NUAK2","NPY1R","TNFRSF11B","NPY1R","CYP1A1","CXCR7","ENPEP","BBC3","PMEPA1","QTRT1","SERPINB2","INHBB","SLC6A15","SUZ12","KIAA0319L","MAFK","CCL15","GM2A","KRT18P51","CDH16","LAIR2","PRKCA","PLEKHF1","RAG1","CHAC1","RPS4Y1","IL32","C19orf28","IGLV2-14","BCL3","ADM","ETV4","TTR","SERPINE1","OTX2","CALML4","SLC39A8","IFI27","DDIT4","SLC17A6","CSF2","SLC17A6","PTHLH","PCDH8","INHBE","SERPINB2","EEF1A2","CR2","RAG1","LRBA","DNAJB5","RBP4","OPN1MW","ERMAP","NRL","FABP7","CNGA1","BHLHE40","PMM1","TXNRD3","PRC1","USP18","CASP7","DIO2","C3","NEUROD6","GAL3ST1","CA3","CCL2","EYA1","EGR1","CDKN1C","EGR2","ID2B","VDR","NFKBIA","MPI","LY86","FOS","CXCR7","LARP6","ACOX2","SEMA3C","HSD11B1","MTO1","HIST1H3B","C12orf5","TGFA","GJB6","GJB6","RND3","RXFP1","MPEG1","FABP4","DBF4B","GPR25","PTGS2","IL1RL1","ELL2","FZD6","IER3","SLC11A2","LOC729779","AMOTL2","TXLNG2P","ZNF236","KRT13","IL13RA2","KRT13","IL13RA2","KRT13","IL13RA2","LY6D","IL1RL1","PAQR6","IL1RL1","TREM2","FGF9","LY6D","IL13RA2","LY6D","IL1RL1","RRAD","APOBEC3G","AGR2","RBP1"
"C10orf46","HLA-DQB1","CXCL5","HES1","PDZK1","GBP1","PDZK1","CEACAM5","KIAA1217","TINF2","DOK1","E2F8","KRT17","PIGO","TNFAIP2","CD9","KIF1A","COX17","HDAC2","COX17","LOC678655","HBEGF","INSIG1","CXCL12","GNMT","PRSS37","GNMT","PRSS37","C7orf73","MSMO1","THY1","LRRC17","RGS4","MN1","HSDL2","FGF20","EXOC3","FGF20","CHI3L1","CLDN1","PTGS2","FOXG1","C6orf27","KRT86","PRDM11","XAF1","LLGL1","CXCL2","MYOC","EGR1","PRAME","CDKN2A","IL1RAP","FOXQ1","POP1","SBK1","LYPD3","TMEM201","UTS2R","TMEFF2","CD99L2","FABP7","SLC2A3","SESN2","IFIT1","CEACAM6","PDZK1","CEACAM5","BAG3","S100A9","PADI1","DNAJC12","FZD8","HIST1H2BC","DSCC1","NTSR1","LMOD1","CDADC1","MAT1A","PMCH","DPYSL3","CHAT","RNF19A","C16orf70","FABP6","RDH16","TXNIP","ASNS","SEPP1","EHF","PKD1P1","IRGC","TAGLN","MYB","TRH","AFP","ACTA1","RASAL2","ETV4","CA14","RHO","SLC7A11","PCDH8","CPA4","TMEM176B","EDN1","IFI27","SLC7A11","PTEN","INHBB","ID1","FARP2","SVIL","PPCS","TECTA","AQP1","TMEM87A","CNGA1","CLCA3P","NRL","CHAC1","DCXR","MBNL3","PAQR4","C2orf18","ANAPC5","EGFL6","LCN2","CALB1","PRKCQ","ART4","ADAMDEC1","MOSC1","EGR2","HTR2B","EGR1","A4GNT","LYL1","DUSP6","DSCR6","SMR3A","ARC","SERTAD2","HCAR3","ITGA2","CNP","PPME1","XPC","NUTF2","TWF1","TMEM45B","CYP4F3","GJB2","GJA1","SHISA2","FABP4","RND3","CBL","SPINK1","LCP1","MMP1","BLMH","TMED5","PDHX","ECD","CCDC138","ANKRD1","ANP32A-IT1","LOC100288903","S100A7","A2M","S100A7","A2M","S100A7","A2M","KRT13","IL13RA2","ABCB1","IGFBP3","NPPB","CDR1","S100A7","CXCL5","KRT13","IL13RA2","SPRR1A","NES","ID3","NELL2"
"C20orf118","CCND2","POU5F1","ADCY6","GFRA1","TNFRSF11B","ANXA3","FAM129A","DEFA1","MYB","STX2","DDX39A","PSMA7","C1orf95","CCL2","SERPINB2","TESK1","DMWD","EIF4G1","PKD1","ALDH1L2","FOXD1","DENND2A","FEN1","ASS1","ARG1","IBSP","ARG1","NCAM1","CYP51A1","RPS4Y1","MMP10","AMPH","CCL2","PBLD","GCNT1","CCDC53","LY6G6D","DES","ARSJ","SDC3","KISS1","EIF2AK2","POLD2","TSPAN32","PIDD","PLEK2","MPZ","MYOM1","GJB1","SPP1","DKK1","CLK1","EEF2","LYPD3","CCNE2","TGM5","RRP9","UHRF1","TONSL","SMARCB1","SOSTDC1","RRAD","RNF41","IFI27","GALNT12","IFIT1","AKR1B10","NPY1R","VGLL1","RDH5","MTMR8","BBC3","DCP2","NGF","CCDC68","CIB1","GGT5","FLRT1","MYOM1","GSDMD","PHOX2B","OXNAD1","NCR1","MGAT4C","SLC2A2","RAG2","CTSG","BMP4","BBC3","TXLNA","IFIT2","ETV4","NDRG1","ACTN3","S100G","KRT19","GATAD2B","ZFP57","FOXA2","SEMA7A","INHBE","IFI27","EDN1","EFHD1","HAPLN1","SLC17A6","CPA4","KRT81","NEUROG1","HES1","ANKH","CLDN23","TALDO1","FABP7","RNF207","FABP7","GNAT1","PDIA3","GNAT1","HIST1H2BC","NME4","NSUN2","BICC1","STAT1","PF4","ATP13A4","CD109","HS3ST2","PLXNB3","TMSB15A","SPINK4","CDKN1C","IL10","DDX58","IL10","CHGB","AATK","SPRY2","C22orf31","PRSS16","TFPI2","PLXNA2","ANK1","LCA5L","FAF2","SP140L","INPP5D","AIDA","HIST1H2BK","ADAM8","SHISA2","ART3","FABP4","MOSC2","RND3","PTPRO","SPAG11A","CD247","CLDN1","IL13RA2","GOLGA4","TRAPPC2","EGF","APOE","STAT4","AXL","LONRF1","KRT23","KRT4","SCG5","KRT4","SCG5","KRT4","SCG5","MAST3","HSD11B1","NDNF","DHRS9","RSAD2","RTN1","IVL","MMP1","MAST3","HSD11B1","S100A7","REEP2","IL18","MSN"
"TMEM181","PTH1R","SAMD10","CHAF1B","GREB1","FGB","GREB1","TNFRSF11B","DLK1","SGOL1","CD52","MCM5","DUSP2","NUDCD3","PTX3","RND3","MATK","LTBR","ALPPL2","MAD1L1","MAB21L1","GATA2","SCD","GINS3","IBSP","PSCA","AQP5","GSDMC","SIX5","TNFRSF12A","MYL9","PTGS2","IL1RL1","FGA","ARL6IP1","NEDD9","SERGEF","BIK","NDUFA4L2","LHX6","NPPB","GSTT2","ADRB1","TCF7L2","LOC51190","KCNJ4","HP1BP3","RELB","SLC12A5","PTGS2","SLC16A4","PRDX2","RASAL2","ZNF703","LOC645238","TMEM155","GPRC5A","GEMIN5","LOC645238","SRC","XIST","GALC","ETS2","HMGB2","BST2","GAGE3","MGP","FAM105A","PDZK1","HSD3B1","CNGB3","OSGIN1","PLA2G16","HIST1H2AC","ZNF446","C13orf15","NDUFC1","DNAJC12","FAM182B","AGXT","BRCA1","KCNB2","MAOB","ALPK3","SLC10A2","AFP","NR1D2","SLC7A11","FABP6","DENND2A","NOL8","SMA4","SOCS3","C1orf210","BCL3","APOC2","GJB5","GADD45G","TGM1","CYP26A1","PCDH8","FGF21","KCNJ16","CCND1","KCNJ16","ITGA5","PENK","SLC7A5","CORO7","C16orf5","GPR68","C1orf106","TPD52","NDRG1","SMOC2","KCNJ14","ADRB2","KCNJ14","CCKBR","NR2E3","SQLE","DAK","RARS","COL1A2","APPL1","TK1","MYOM3","SUCNR1","GLRA2","PLLP","DOCK9","CDKN1A","CD177","OSM","SYT1","OSM","LCN2","LOC654096","MYC","TAT","COL4A5","DUSP5","COL4A1","BHMT","WSCD2","KIAA1033","NEDD4","FCAR","RGS1","FCER2","FAM83A","BTLA","CYP4F3","MMP1","PLCH1","P2RY14","CCL4","ZNF480","NELL2","COBL","CCL20","TBK1","EPB41L4B","CRYZ","FKBP14","PKI55","BICC1","NEAT1","GZMH","KRT16","IL1RL1","KRT16","IL1RL1","KRT16","IL1RL1","MEGF8","PPBP","ATP6V1B1","ZP4","SLC5A5","NRCAM","KRT4","IL1RL1","MEGF8","PPBP","SPRR3","HABP2","SEPP1","KRT23"
"CCNL2","TXNDC12","KLF2","VPS37B","MSMB","GJA1","HSPB8","DUSP4","PITX2","MCM10","FRRS1","MCM4","SLC22A14","GRIN2C","CCL20","KRT7","PVALB","PKD1","CAV1","PLK3","LRIG3","BCAR3","HHEX","ZWILCH","SLC7A5","GSDMC","SLC7A5","PSCA","SLC6A20","FAM3B","TAS2R14","AMPH","SERPINB2","ICAM1","GAS1","LEF1","TTR","WNT11","SGCG","GPER","PDLIM3","NEFL","PHOSPHO2","AKR1B1","GDNF","N6AMT1","ELAVL2","TNFAIP3","KCNJ15","AGPAT4","EPB41L3","PRSS3","SMAD5","AXIN2","EIF3CL","MMP15","PLEKHG2","DUSP2","LFNG","SH3BGR","TFPI2","C1QTNF3","RAB31","MTHFD2","SLC6A14","GAGE7","GREB1","KIAA1199","DKK1","PPARG","AIM1L","RIPK4","PFKFB4","ANKRD46","LIN7A","PMEPA1","TM7SF4","TOM1L2","TBKBP1","STC2","NDOR1","RCN3","RNF125","KLK1","SAA1","CYP2C18","DNTT","VLDLR","OGDHL","CPA4","MYL10","TTC18","ACTA1","RAB3IL1","CALML4","CITED1","SOCS3","RAI1","NEFH","APOA1","IFI6","VNN2","PENK","INHBE","FOS","FAP","EFHD1","ADAM12","HLA-DPA1","DMRT1","NOTCH3","ADAMTS1","KLHL21","FBXO4","TNFRSF12A","RS1","TNFRSF12A","OPN1MW","CNGB3","KCNJ14","TNC","SLC7A7","STX7","FBLN2","SEC23A","GPN3","SLC25A34","NUAK2","TBR1","C1orf130","PSAT1","CALB1","CACNA1E","TLR3","C19orf21","MAFF","KRT85","MYOZ1","DUSP1","NDN","SLC28A1","EGR1","IFIT2","ITGB6","RHBDL1","SIAE","AKAP10","ZFP36L2","MSMO1","FGL2","C6orf141","PLCH1","BMX","TDO2","JPH1","PTPRO","PID1","RAG1","TDRD1","IGFBP2","SRPX","SERPINE2","GCH1","PDGFA","MAP3K4","CDC45","BIRC5","LOC51336","HOXD12","TGM1","ITGA2","TGM1","ITGA2","TGM1","ITGA2","ATP6V1B1","SCG5","POU3F2","PPBP","LFNG","PCP4","KLK12","HSD11B1","ATP6V1B1","SCG5","SPRR1B","AICDA","SELENBP1","IGFBP7"
"YIPF1","M6PR","STAT6","GRSF1","DLC1","DUSP6","DLC1","CYP1B1","CCL2","ADCY6","LTC4S","TOP2A","GALNS","EFNA5","RELA","MMP14","BAG1","SNRPC","LMAN2","PPIB","GDF5","SPRY4","MVD","MT1H","KCNK3","SAA2","PDIA5","TNFRSF12A","ZNF746","IDI1","PDE1B","OSBPL8","CDC45","TAGLN","TCF25","LMO2","KRT32","ETV5","STMN2","DECR2","GCH1","WNT5B","CSF2RB","KCNJ9","ARSF","MYL2","NUDT6","IL8","CDON","ZNF324","PLXNC1","PRSS2","TAF1D","CD151","UTS2R","CDKN2C","RAP1A","RRP12","MMP1","LOC644951","FOXG1","FCGR1A","MAL2","IFRD1","IFI6","SGPP1","GFRA1","COL5A2","GFRA1","CSGALNACT1","CHM","LOC643326","HP1BP3","HIST2H2BE","XRCC3","ANGPTL4","GLRA2","LOC155060","OPRK1","GPR37L1","ZNF32","TP53TG5","C1orf183","RPGRIP1","CAMP","CYP2B6","FAM13B","PCK2","FRMD1","EMP1","ADM2","MAPK8IP2","SFN","CDHR1","RPP25","TINAGL1","TNFRSF12A","PHF21A","GBX2","TTR","CTRC","GRM1","TMEM176B","PTHLH","SEPP1","LSAMP","FOS","PTHLH","KRT23","DOK5","SLPI","MEFV","ESRP1","MRPS35","CADPS2","WISP1","TMEM158","RHO","BSPRY","WISP1","AGRN","C14orf159","ACP5","SNCG","SELK","POLD2","FAM20A","CASP12","GDA","DKK3","AGAP1","PLA2G7","KCNC4","MAFF","SNPH","C13orf15","ACHE","CLSTN3","MYCN","CDK6","TNFSF8","NAB2","SMAD7","PAIP2B","ORC2","MAML2","ATP6V0E1","SLCO1A2","ADM","TRIM22","LAMA3","JPH1","ALOX5","HMOX1","TNFSF10","MAFB","TWF1","DGKQ","C8orf59","CXADR","BMP2","AGFG1","ACVR1","KIAA0100","IGFBP3","SLC7A11","CDC20","KIAA0754","KLF13","CDH16","C11orf41","CDH16","C11orf41","CDH16","C11orf41","S100A7","CXCL5","MAST3","CRCT1","NES","GATM","KRT16","CSF3","S100A7","CXCL5","KRT16","CEL","CDH17","KRT5"
"GTDC1","PPT2","ENTPD6","TLX2","MYB","S100A9","NRIP1","UPK2","UPK3B","PRC1","H2AFJ","HNRNPA3","GBF1","ESRRB","IL8","RAC1","TXLNA","AXIN1","SPIB","CXCR3","ZNF302","ID3","TNXB","MT2A","PKP1","ANGPTL1","KCNN4","DHCR24","GRAMD1A","LDLR","DDX3Y","ZNF674","DHFR","TMEM8B","COL2A1","DYNC1I1","DSG3","LMO2","PTGIS","PLEKHA2","FOS","ARSJ","MMP3","PRSS29P","NLGN3","RET","BMPR2","SPINK1","PRRG2","C10orf10","GREB1","MEST","ATP9B","CAPS","ADM2","SYNM","HIST1H2AC","UBIAD1","PIK3C2B","FMN2","ANGPTL4","APOE","HINT1","LETMD1","IFI44","VTCN1","TM4SF1","SGPP1","SH3BGRL","C8orf4","SOAT2","KIAA0319L","HELLS","PMEPA1","PNOC","GPR37","CXorf56","RPL3L","APOBEC3F","DDIT3","C1orf159","NLGN4Y","GZMB","PCDHA5","ABO","PRODH2","HES1","KIF21B","SCGN","OSGIN1","MED23","ZNF117","CTRB1","NARF","GBX2","APOA1","PTRF","ENG","NR0B1","CITED1","EGFL6","TRIB3","ID4","LCP1","GAS2","ADAM12","TMEM176B","CSF2","HLA-DPB1","PRR16","DDX4","SRGAP2","PTGS2","LAMC3","APOBEC2","SH2D1A","PDIA3","ESRRB","RGL3","RHO","TMEM66","MRPL45","GJB2","PTMA","ARRDC4","RAD51D","THRSP","RASSF4","CAMKV","BCAS1","ELMO3","BIRC3","CACNG3","DUSP6","EYA1","TLR3","CUX2","IQCG","MAB21L1","EXOSC10","DSC1","SNRNP35","CDKN1B","SKIL","TSPY26P","C8orf48","MAPKAPK5","HTRA2","RGS16","RBM47","FGFBP1","BMX","ASL","ASPH","SERPINB10","TFPI","MPEG1","CXCR2","PNMA3","KLF11","SLC26A2","TMOD3","IGF1R","RGS2","CHEK2","SDS","CDKN2C","LRRC37A2","FOXE3","CXCR7","FGF9","CXCR7","FGF9","CXCR7","FGF9","TM4SF4","MMP10","NOS1","MMP10","KRT17","ETV1","CDH16","NELL2","TM4SF4","MMP10","KRT4","ETV5","PRSS8","CCND2"
"OPN3","STAU1","VCAN","SSX2IP","SLC6A14","ADM","FHL2","DAB2","SEZ6","RLIM","KLK8","UNG","PPAP2B","CCDC88C","IRF1","MMP1","FXR2","ZYX","BTG1","PTMS","ELMOD3","MAP2K3","LPIN1","UHRF1","SLC22A12","SYT17","ASS1","TESC","FBXO32","TFRC","CD5","ASCC3","VEGFC","DDIT3","LAP3","SLC3A2","EBLN2","ENPP2","PTGS2","C8orf4","CCL2","IL32","KRTAP3-1","SLC7A2","PPARGC1A","FCGR1A","DIO1","APOL3","RHOH","GLYAT","CYFIP2","EFNB2","GCLM","RPL37A","IRGC","CD83","MMP1","ADCK3","NOL12","IMP5","PRSS12","APOD","RWDD2B","ATF4","IFIH1","AOX1","IFI27","ALDH1A3","ID2","TSPAN12","FNDC4","CD5L","SLC2A6","ANGPTL4","APLP1","ASPN","ARRB2","SCTR","SOX10","SLC26A10","ZRSR1","LGALS9","FAM169A","SP140","HES7","OR51B6","EVI2B","BCHE","NDOR1","AKR1C3","CST7","MDK","GAP43","NAGLU","NR0B1","APOM","ANXA1","POU3F1","BCL3","S100G","HPX","CTH","CDH10","GFPT2","API5","FJX1","CDH10","TNFAIP6","RFTN1","HSPA12A","ARSD","CDHR1","MYH10","STRA13","TUBB6","PDE6H","EYA1","SLC24A1","QSOX1","ESRRB","PLXNA2","ADA","NFE2L1","FSTL1","KLK6","FAM64A","ABCD2","DEFB1","DYNC1I1","DMRTA1","ASNS","GPNMB","TCN1","EGR3","MAB21L2","DUSP6","PRSS16","FOSB","TRIB1","CLEC2B","MXRA5","RNF19B","CITED2","RNASE4","PIGO","DDB2","C20orf20","S100A14","SPP1","MNDA","SH2D3A","ALOX5","BTLA","CLEC2B","OGDHL","CLDN1","GNG11","FAM164C","NPHS1","TAGLN","INHBA","ADAM10","DNMT3B","PLEKHJ1","ARL4C","TRIM29","CENPF","PLGLA","PCDHB12","NOS1","G0S2","NOS1","G0S2","NOS1","G0S2","EPHX2","MMP1","TM4SF4","IL1R2","IFI44L","SNAP91","CALML5","NAV3","EPHX2","MMP1","IGFBP3","ITGB2","GDPD3","ANO1"
"RSAD2","IGJ","HMGCS1","DNA2","IFI44","ITGB6","EGR3","CEACAM6","TAF15","FIP1L1","MEF2A","FAM60A","TRPM2","TICAM1","OLR1","FN1","YLPM1","PLOD1","TFCP2","ZYX","SULF1","NRIP1","SVEP1","GMNN","CD248","NFIL3","CD248","TMEM40","SNHG11","PSAT1","FGA","TFPI2","MEST","PKD1","UROS","RUNX1","NAT6","DEFA5","CSTA","IL8","ERAP2","SH3BGR","RAMP3","ISLR","DSG3","LIM2","AGPAT3","TNFRSF9","UTS2","DUSP8","IFI16","ZNF44","ARHGEF18","MYL9","BYSL","ABHD15","ARNTL","PRR3","C10orf10","CLDN9","TINAGL1","AGTR2","TSC22D1","BLCAP","LGALS1","SERPINA1","HSPB8","CYP1B1","GREB1","SGCE","BMI1","SLPI","BTBD2","ZNF226","ATXN8OS","ANKRD46","SOAT2","KRT81","MCAT","B3GALT5","RAB40C","TLX3","CCDC82","S100A1","DUOXA2","LIX1","S1PR1","ATF3","LINC00339","MYL10","TCIRG1","C1orf105","TFEB","GIMAP3P","FGF17","FGB","ANXA5","LTF","SERPINE1","TCN2","GRM2","VSTM4","A2M","ADAM12","IDH1","COL13A1","PCP4","GAL","PNMA3","CCDC102B","MYCN","DAAM2","MIOX","TMEM11","RXRG","ARG2","MYOCD","NXNL1","GULOP","AQP1","ADAMTS1","SPOCK1","ELOVL6","SI","GPCPD1","TWIST2","TNFRSF19","PQLC3","RGS4","LPHN2","CBS","NCF2","SLPI","C13orf15","RHOBTB1","EGR3","DGKQ","CDH3","TBCC","GLRA2","UNG","CDKN1A","ENTPD7","THPO","KATNB1","ARHGEF10","MYO19","SETDB1","DUSP7","OSTM1","LAMC2","GJB2","GPAT2","SCG2","BTLA","CCL4","P2RY14","ZNF134","EFCAB6","LAMP3","HCLS1","UBE2W","PCLO","H2AFV","LRPAP1","ST8SIA2","COL4A3","C21orf96","ABCB4","EPHX2","CALB1","EPHX2","CALB1","EPHX2","CALB1","CALML5","CSF3","DTNB","NR1H4","SGK2","SEPP1","SPRR3","NPHS1","CALML5","CSF3","TGM1","TPK1","ERAP2","ELOVL5"
"SLC22A1","TMOD3","ANXA8","CMA1","IFI44L","DUSP4","IFI44","KIAA1199","EMP1","GNL3","SNX21","C1orf174","STK11","FGFR2","CXCL6","SERPINE1","RNASE6","DNASE2","NTF4","WNT1","ADAMTSL4","UGDH","IGDCC4","TRIP13","AQP5","SFTPD","SLCO3A1","SAA2","WIF1","CDK1","TTLL3","NUCB2","GABBR2","SMG6","MYBL1","QPCT","SNAI2","QPCT","PPL","C10orf116","PTGIS","CD19","PXMP2","CHRNB2","SAG","GLRA2","CHD1L","INPP5D","MST1R","FZD9","RASSF2","NR2F1","NBPF10","ACTN4","LOC79015","ZDHHC23","ANGPTL4","KLF16","SLC2A6","NUDT4P1","TPD52L1","MS4A6D","DNAJA1","IFIT2","DDX58","FGFR4","KCTD3","UPK3B","AGR2","BLNK","GJC2","CDADC1","NDRG4","ARL4C","CXCL12","IL15RA","SLC4A8","PPIEL","SVEP1","IGFBP3","RAPGEF1","DENND1C","LCN1","GRPR","PARM1","LEAP2","C11orf61","TM6SF1","ST6GALNAC2","IL17A","TGFBRAP1","GABRB2","FGF17","HEY1","SLC27A2","GKN2","TGM1","DEPTOR","SEMA4B","FGF5","EFHD1","CHAC1","EFHD1","STC2","IFI27","TAGLN","SEMA3E","FJX1","CXCL11","B3GAT1","CRH","CDKN1A","TRIP11","FBXL13","CCKBR","NXNL1","CCKBR","PDE6A","ARPC3","PPAP2C","CREB3L2","TIPIN","C4orf43","RFC3","PNRC2","BIRC5","FARS2","ANXA1","KIAA0319","ERBB3","ID1","SPP1","HTR2B","FUT5","CLDN16","FOS","CEP41","PAX1","TMEM115","LOC81691","C6orf123","CCNE1","RGS2","HLX","RFX1","FLJ27352","PDCD10","C7orf10","SLC29A2","CECR1","SDR16C5","SERPINB10","GZMA","PTPRO","SLCO4C1","TFPI2","ASPH","GP1BA","ZNF835","ROBO3","TSPAN5","SLC26A2","RB1","GALE","TEX10","HRK","CRIM1","FLJ13769","GPR15","IFI44L","HSD11B1","IFI44L","HSD11B1","IFI44L","HSD11B1","SYNDIG1","NAV3","P2RX1","IL37","CXCL10","SCG3","LGALS7","MAGEA6","SYNDIG1","NAV3","ABCB1","FAM155B","TSPAN8","PLTP"
