"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","ATM_DN.V1_UP","P53_DN.V2_UP","RELA_DN.V1_UP","P53_DN.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","SNF5_DN.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_UP","BRCA1_DN.V1_UP","CTIP_DN.V1_UP","PKCA_DN.V1_UP","MTOR_UP.N4.V1_UP","PTEN_DN.V2_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_UP","MEL18_DN.V1_UP","PTEN_DN.V1_UP","NOTCH_DN.V1_UP","EIF4E_UP","CRX_DN.V1_UP","CRX_NRL_DN.V1_UP","NRL_DN.V1_UP","RB_DN.V1_UP","RB_P107_DN.V1_UP","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
"IGFBP6","RRP1B","FGG","CYP1A1","TOP2A","TK1","AVPR2","ICAM1","ARHGDIA","KLK6","SNRPC","SMAD7","TCF19","SAA1","SAA1","FABP5","FABP4","MYL9","MYB","DKK1","SH3BGR","MMP1","SDC4","QTRT1","CCL20","FOS","F3","CYP24A1","ENO2","HSPA6","FOS","GBP1","NUAK2","TNFRSF11B","CYP1A1","ENPEP","PMEPA1","SERPINB2","SLC6A15","KIAA0319L","CCL15","KRT18P51","LAIR2","PLEKHF1","CHAC1","IL32","IGLV2-14","ADM","TTR","OTX2","SLC39A8","DDIT4","CSF2","PTHLH","INHBE","EEF1A2","RAG1","DNAJB5","OPN1MW","NRL","CNGA1","PMM1","PRC1","CASP7","DIO2","C3","NEUROD6","GAL3ST1","CCL2","EGR1","EGR2","VDR","MPI","FOS","LARP6","SEMA3C","MTO1","C12orf5","TGFA","GJB6","RND3","MPEG1","FABP4","GPR25","IL1RL1","FZD6","SLC11A2","LOC729779","AMOTL2","ZNF236","IL13RA2","IL13RA2","IL13RA2","IL1RL1","IL1RL1","FGF9","IL13RA2","IL1RL1","APOBEC3G","RBP1"
"HLA-DQB1","HES1","GBP1","CEACAM5","TINF2","E2F8","PIGO","TNFAIP2","CD9","COX17","COX17","HBEGF","CXCL12","PRSS37","PRSS37","MSMO1","LRRC17","MN1","FGF20","FGF20","CLDN1","FOXG1","KRT86","XAF1","CXCL2","EGR1","CDKN2A","FOXQ1","SBK1","TMEM201","TMEFF2","FABP7","SESN2","CEACAM6","CEACAM5","S100A9","DNAJC12","HIST1H2BC","NTSR1","CDADC1","PMCH","CHAT","C16orf70","RDH16","ASNS","EHF","IRGC","MYB","AFP","RASAL2","CA14","SLC7A11","CPA4","EDN1","SLC7A11","INHBB","FARP2","PPCS","AQP1","CNGA1","NRL","DCXR","PAQR4","ANAPC5","EGFL6","LCN2","CALB1","PRKCQ","ADAMDEC1","EGR2","EGR1","LYL1","DSCR6","ARC","HCAR3","CNP","XPC","TWF1","TMEM45B","GJB2","GJA1","FABP4","RND3","SPINK1","MMP1","TMED5","ECD","CCDC138","ANKRD1","LOC100288903","A2M","A2M","A2M","IL13RA2","IGFBP3","CDR1","CXCL5","IL13RA2","NES","NELL2"
"CCND2","ADCY6","TNFRSF11B","FAM129A","MYB","DDX39A","C1orf95","CCL2","SERPINB2","DMWD","PKD1","FOXD1","FEN1","ARG1","ARG1","CYP51A1","MMP10","CCL2","GCNT1","LY6G6D","ARSJ","KISS1","POLD2","PIDD","MPZ","GJB1","DKK1","EEF2","CCNE2","RRP9","TONSL","SOSTDC1","RNF41","GALNT12","AKR1B10","VGLL1","MTMR8","DCP2","CCDC68","GGT5","MYOM1","PHOX2B","NCR1","SLC2A2","CTSG","BBC3","IFIT2","NDRG1","S100G","GATAD2B","FOXA2","INHBE","EDN1","HAPLN1","CPA4","NEUROG1","ANKH","TALDO1","RNF207","GNAT1","GNAT1","NME4","BICC1","PF4","ATP13A4","CD109","HS3ST2","PLXNB3","SPINK4","IL10","IL10","AATK","C22orf31","TFPI2","ANK1","FAF2","INPP5D","HIST1H2BK","ADAM8","ART3","FABP4","RND3","PTPRO","CD247","IL13RA2","TRAPPC2","APOE","STAT4","AXL","KRT23","SCG5","SCG5","SCG5","HSD11B1","DHRS9","RTN1","MMP1","HSD11B1","REEP2","MSN"
"PTH1R","CHAF1B","FGB","TNFRSF11B","SGOL1","MCM5","NUDCD3","PTX3","RND3","LTBR","MAD1L1","GATA2","GINS3","PSCA","GSDMC","TNFRSF12A","PTGS2","FGA","NEDD9","BIK","LHX6","GSTT2","TCF7L2","KCNJ4","RELB","PTGS2","PRDX2","ZNF703","TMEM155","GEMIN5","SRC","GALC","HMGB2","GAGE3","FAM105A","HSD3B1","OSGIN1","HIST1H2AC","C13orf15","DNAJC12","AGXT","KCNB2","ALPK3","AFP","SLC7A11","DENND2A","SMA4","C1orf210","APOC2","GADD45G","CYP26A1","FGF21","CCND1","ITGA5","SLC7A5","C16orf5","C1orf106","NDRG1","KCNJ14","KCNJ14","NR2E3","DAK","COL1A2","TK1","MYOM3","SUCNR1","GLRA2","PLLP","CDKN1A","OSM","OSM","LOC654096","TAT","DUSP5","BHMT","KIAA1033","FCAR","FCER2","FAM83A","CYP4F3","MMP1","P2RY14","CCL4","NELL2","CCL20","EPB41L4B","FKBP14","PKI55","BICC1","GZMH","IL1RL1","IL1RL1","IL1RL1","PPBP","ZP4","NRCAM","IL1RL1","PPBP","HABP2","KRT23"
"TXNDC12","VPS37B","GJA1","DUSP4","MCM10","MCM4","GRIN2C","CCL20","KRT7","PKD1","PLK3","BCAR3","ZWILCH","GSDMC","PSCA","FAM3B","AMPH","ICAM1","LEF1","WNT11","GPER","NEFL","AKR1B1","N6AMT1","TNFAIP3","AGPAT4","PRSS3","AXIN2","MMP15","DUSP2","SH3BGR","C1QTNF3","MTHFD2","GAGE7","KIAA1199","PPARG","RIPK4","ANKRD46","PMEPA1","TOM1L2","STC2","RCN3","KLK1","CYP2C18","VLDLR","CPA4","TTC18","RAB3IL1","CITED1","RAI1","APOA1","VNN2","INHBE","FAP","ADAM12","DMRT1","ADAMTS1","FBXO4","RS1","OPN1MW","KCNJ14","SLC7A7","FBLN2","GPN3","SLC25A34","NUAK2","TBR1","C1orf130","CALB1","TLR3","MAFF","MYOZ1","NDN","EGR1","ITGB6","SIAE","ZFP36L2","FGL2","C6orf141","BMX","TDO2","PTPRO","PID1","TDRD1","SRPX","GCH1","MAP3K4","CDC45","BIRC5","HOXD12","ITGA2","ITGA2","ITGA2","SCG5","PPBP","PCP4","HSD11B1","SCG5","AICDA","IGFBP7"
"M6PR","GRSF1","DUSP6","CYP1B1","ADCY6","TOP2A","EFNA5","RELA","MMP14","SNRPC","PPIB","SPRY4","MT1H","SAA2","TNFRSF12A","IDI1","OSBPL8","TAGLN","LMO2","ETV5","DECR2","WNT5B","KCNJ9","MYL2","IL8","ZNF324","PRSS2","CD151","CDKN2C","RRP12","LOC644951","FCGR1A","IFRD1","SGPP1","COL5A2","CSGALNACT1","LOC643326","HIST2H2BE","ANGPTL4","LOC155060","GPR37L1","TP53TG5","RPGRIP1","CYP2B6","PCK2","EMP1","MAPK8IP2","CDHR1","TINAGL1","PHF21A","TTR","GRM1","PTHLH","LSAMP","PTHLH","DOK5","MEFV","MRPS35","WISP1","RHO","WISP1","C14orf159","SNCG","POLD2","FAM20A","CASP12","GDA","DKK3","PLA2G7","MAFF","C13orf15","CLSTN3","CDK6","NAB2","PAIP2B","MAML2","SLCO1A2","TRIM22","LAMA3","ALOX5","HMOX1","MAFB","TWF1","C8orf59","BMP2","ACVR1","IGFBP3","SLC7A11","CDC20","KLF13","C11orf41","C11orf41","C11orf41","CXCL5","CRCT1","GATM","CSF3","CXCL5","CEL","KRT5"
"PPT2","TLX2","S100A9","UPK2","PRC1","HNRNPA3","ESRRB","IL8","RAC1","AXIN1","CXCR3","ID3","MT2A","ANGPTL1","DHCR24","LDLR","ZNF674","TMEM8B","DYNC1I1","LMO2","PLEKHA2","ARSJ","PRSS29P","RET","SPINK1","C10orf10","MEST","CAPS","SYNM","UBIAD1","FMN2","APOE","LETMD1","VTCN1","SGPP1","C8orf4","KIAA0319L","PMEPA1","GPR37","RPL3L","DDIT3","NLGN4Y","PCDHA5","PRODH2","KIF21B","OSGIN1","ZNF117","NARF","APOA1","ENG","CITED1","TRIB3","LCP1","ADAM12","CSF2","PRR16","SRGAP2","LAMC3","SH2D1A","ESRRB","RHO","MRPL45","PTMA","RAD51D","THRSP","RASSF4","CAMKV","BCAS1","BIRC3","DUSP6","TLR3","IQCG","EXOSC10","SNRNP35","SKIL","C8orf48","HTRA2","RBM47","FGFBP1","ASL","ASPH","TFPI","MPEG1","PNMA3","SLC26A2","IGF1R","CHEK2","SDS","CDKN2C","FOXE3","FGF9","FGF9","FGF9","MMP10","MMP10","ETV1","NELL2","MMP10","ETV5","CCND2"
"STAU1","SSX2IP","ADM","DAB2","RLIM","UNG","CCDC88C","IRF1","MMP1","ZYX","PTMS","MAP2K3","UHRF1","SYT17","TESC","TFRC","ASCC3","DDIT3","SLC3A2","ENPP2","C8orf4","IL32","SLC7A2","FCGR1A","APOL3","GLYAT","EFNB2","RPL37A","CD83","ADCK3","IMP5","APOD","ATF4","AOX1","ALDH1A3","TSPAN12","CD5L","ANGPTL4","ASPN","SCTR","SLC26A10","LGALS9","SP140","OR51B6","BCHE","AKR1C3","MDK","NAGLU","APOM","POU3F1","S100G","CTH","GFPT2","FJX1","TNFAIP6","HSPA12A","CDHR1","STRA13","PDE6H","SLC24A1","ESRRB","ADA","FSTL1","FAM64A","ABCD2","DEFB1","DYNC1I1","DMRTA1","GPNMB","EGR3","DUSP6","FOSB","CLEC2B","RNF19B","RNASE4","DDB2","S100A14","MNDA","SH2D3A","BTLA","CLEC2B","CLDN1","GNG11","NPHS1","INHBA","DNMT3B","ARL4C","TRIM29","CENPF","PCDHB12","G0S2","G0S2","G0S2","MMP1","IL1R2","SNAP91","NAV3","MMP1","ITGB2","ANO1"
"IGJ","DNA2","ITGB6","CEACAM6","FIP1L1","FAM60A","TICAM1","OLR1","FN1","PLOD1","ZYX","NRIP1","GMNN","NFIL3","TMEM40","PSAT1","TFPI2","PKD1","RUNX1","DEFA5","IL8","SH3BGR","ISLR","LIM2","TNFRSF9","DUSP8","ZNF44","MYL9","ABHD15","PRR3","CLDN9","AGTR2","BLCAP","SERPINA1","CYP1B1","SGCE","SLPI","ZNF226","ANKRD46","KRT81","B3GALT5","TLX3","S100A1","LIX1","ATF3","MYL10","C1orf105","GIMAP3P","FGB","LTF","TCN2","VSTM4","ADAM12","COL13A1","GAL","CCDC102B","DAAM2","TMEM11","ARG2","NXNL1","AQP1","SPOCK1","SI","TWIST2","TNFRSF19","PQLC3","RGS4","LPHN2","NCF2","C13orf15","EGR3","CDH3","GLRA2","CDKN1A","THPO","ARHGEF10","SETDB1","OSTM1","LAMC2","GPAT2","SCG2","CCL4","P2RY14","EFCAB6","HCLS1","PCLO","LRPAP1","ST8SIA2","COL4A3","ABCB4","CALB1","CALB1","CALB1","CSF3","NR1H4","SEPP1","NPHS1","CSF3","TPK1","ELOVL5"
"TMOD3","CMA1","DUSP4","KIAA1199","GNL3","C1orf174","FGFR2","CXCL6","SERPINE1","DNASE2","WNT1","UGDH","TRIP13","SFTPD","SAA2","CDK1","NUCB2","SMG6","QPCT","QPCT","C10orf116","CD19","CHRNB2","GLRA2","INPP5D","FZD9","NR2F1","ACTN4","ZDHHC23","KLF16","NUDT4P1","MS4A6D","IFIT2","FGFR4","UPK3B","BLNK","CDADC1","ARL4C","IL15RA","PPIEL","IGFBP3","DENND1C","GRPR","LEAP2","TM6SF1","IL17A","GABRB2","HEY1","GKN2","DEPTOR","FGF5","CHAC1","STC2","TAGLN","FJX1","B3GAT1","CDKN1A","FBXL13","NXNL1","PDE6A","PPAP2C","TIPIN","RFC3","BIRC5","FARS2","ANXA1","KIAA0319","ERBB3","SPP1","FUT5","FOS","PAX1","LOC81691","CCNE1","HLX","FLJ27352","C7orf10","CECR1","SDR16C5","GZMA","PTPRO","TFPI2","ASPH","ZNF835","TSPAN5","RB1","TEX10","HRK","CRIM1","GPR15","HSD11B1","HSD11B1","HSD11B1","NAV3","IL37","SCG3","MAGEA6","NAV3","FAM155B","PLTP"
