gene,GO.term,type
BOP1,GO:0000027,P
BRIX1,GO:0000027,P
MDN1,GO:0000027,P
MRPL11,GO:0000027,P
MRPL20,GO:0000027,P
MRTO4,GO:0000027,P
NLE1,GO:0000027,P
NOP2,GO:0000027,P
PPAN,GO:0000027,P
PPAN-P2RY11,GO:0000027,P
RPF1,GO:0000027,P
RPF2,GO:0000027,P
RPL10,GO:0000027,P
RPL10L,GO:0000027,P
RPL11,GO:0000027,P
RPL12,GO:0000027,P
RPL23A,GO:0000027,P
RPL24,GO:0000027,P
RPL3,GO:0000027,P
RPL3L,GO:0000027,P
RPL5,GO:0000027,P
RPL6,GO:0000027,P
RPLP0,GO:0000027,P
RPLP0P6,GO:0000027,P
RRS1,GO:0000027,P
RSL24D1,GO:0000027,P
TRAF7,GO:0000027,P
WDR18,GO:0000027,P
AMBRA1,GO:0000045,P
ATG101,GO:0000045,P
ATG12,GO:0000045,P
ATG13,GO:0000045,P
ATG14,GO:0000045,P
ATG16L1,GO:0000045,P
ATG16L2,GO:0000045,P
ATG2A,GO:0000045,P
ATG2B,GO:0000045,P
ATG3,GO:0000045,P
ATG4A,GO:0000045,P
ATG4B,GO:0000045,P
ATG4C,GO:0000045,P
ATG5,GO:0000045,P
ATG7,GO:0000045,P
ATG9A,GO:0000045,P
ATG9B,GO:0000045,P
BECN1,GO:0000045,P
BECN2,GO:0000045,P
EMC6,GO:0000045,P
GABARAP,GO:0000045,P
GABARAPL1,GO:0000045,P
GABARAPL2,GO:0000045,P
GABARAPL3,GO:0000045,P
IRGM,GO:0000045,P
MAP1LC3A,GO:0000045,P
MAP1LC3B2,GO:0000045,P
MAP1LC3B,GO:0000045,P
MAP1LC3C,GO:0000045,P
NSFL1C,GO:0000045,P
PACS2,GO:0000045,P
PIK3C3,GO:0000045,P
PSEN1,GO:0000045,P
RAB1A,GO:0000045,P
RAB23,GO:0000045,P
RAB33B,GO:0000045,P
RAB7A,GO:0000045,P
RB1CC1,GO:0000045,P
STX12,GO:0000045,P
SYNPO2,GO:0000045,P
TP53INP1,GO:0000045,P
TP53INP2,GO:0000045,P
TRAPPC8,GO:0000045,P
UBQLN1,GO:0000045,P
UBXN2A,GO:0000045,P
UBXN2B,GO:0000045,P
ULK1,GO:0000045,P
ULK2,GO:0000045,P
ULK3,GO:0000045,P
WDR45B,GO:0000045,P
WDR45,GO:0000045,P
WIPI1,GO:0000045,P
WIPI2,GO:0000045,P
ABRA,GO:0000060,P
AGAP3,GO:0000060,P
AKR1C3,GO:0000060,P
AKT1,GO:0000060,P
ARNTL,GO:0000060,P
BCL3,GO:0000060,P
BCL6,GO:0000060,P
CEP57,GO:0000060,P
GCKR,GO:0000060,P
IFNG,GO:0000060,P
KPNB1,GO:0000060,P
MT3,GO:0000060,P
NFKBIA,GO:0000060,P
NUTF2,GO:0000060,P
OPRD1,GO:0000060,P
PHB2,GO:0000060,P
POLA2,GO:0000060,P
RAN,GO:0000060,P
RBM22,GO:0000060,P
SEC61B,GO:0000060,P
SIX3,GO:0000060,P
TGFB1,GO:0000060,P
TNF,GO:0000060,P
TNPO1,GO:0000060,P
BUB3,GO:0000070,P
CDCA8,GO:0000070,P
DSN1,GO:0000070,P
ESPL1,GO:0000070,P
HIRA,GO:0000070,P
INCENP,GO:0000070,P
INO80,GO:0000070,P
KIF18A,GO:0000070,P
KIF18B,GO:0000070,P
KIF25,GO:0000070,P
KIFC1,GO:0000070,P
KLHL22,GO:0000070,P
KNSTRN,GO:0000070,P
MAD2L1,GO:0000070,P
MIS12,GO:0000070,P
NDC80,GO:0000070,P
NEK2,GO:0000070,P
NSL1,GO:0000070,P
NUSAP1,GO:0000070,P
PLK1,GO:0000070,P
RAN,GO:0000070,P
RECQL5,GO:0000070,P
SMC1A,GO:0000070,P
SMC4,GO:0000070,P
SPAG5,GO:0000070,P
TUBG1,GO:0000070,P
TUBG2,GO:0000070,P
ZNF207,GO:0000070,P
ZW10,GO:0000070,P
ZWINT,GO:0000070,P
ATM,GO:0000077,P
ATR,GO:0000077,P
ATRIP,GO:0000077,P
BRIP1,GO:0000077,P
CEP63,GO:0000077,P
CHEK1,GO:0000077,P
CHEK2,GO:0000077,P
CLOCK,GO:0000077,P
CLSPN,GO:0000077,P
DONSON,GO:0000077,P
DOT1L,GO:0000077,P
E2F1,GO:0000077,P
EIF2AK4,GO:0000077,P
FBXO6,GO:0000077,P
H2AFX,GO:0000077,P
HINFP,GO:0000077,P
HUS1,GO:0000077,P
INTS7,GO:0000077,P
MAPK14,GO:0000077,P
NBN,GO:0000077,P
PEA15,GO:0000077,P
PTPN11,GO:0000077,P
RAD17,GO:0000077,P
RAD1,GO:0000077,P
RAD9A,GO:0000077,P
RHNO1,GO:0000077,P
RPA4,GO:0000077,P
TIPRL,GO:0000077,P
TP53BP1,GO:0000077,P
USP28,GO:0000077,P
ACTB,GO:0000079,P
BCCIP,GO:0000079,P
BLM,GO:0000079,P
CCNA1,GO:0000079,P
CCNA2,GO:0000079,P
CCNB1,GO:0000079,P
CCNB2,GO:0000079,P
CCNB3,GO:0000079,P
CCND1,GO:0000079,P
CCND2,GO:0000079,P
CCND3,GO:0000079,P
CCNE1,GO:0000079,P
CCNE2,GO:0000079,P
CCNF,GO:0000079,P
CCNG1,GO:0000079,P
CCNG2,GO:0000079,P
CCNI2,GO:0000079,P
CCNI,GO:0000079,P
CCNJ,GO:0000079,P
CCNJL,GO:0000079,P
CCNK,GO:0000079,P
CCNO,GO:0000079,P
CCNT1,GO:0000079,P
CCNT2,GO:0000079,P
CCNYL1,GO:0000079,P
CDC25A,GO:0000079,P
CDC25C,GO:0000079,P
CDC37,GO:0000079,P
CDC6,GO:0000079,P
CDK5R1,GO:0000079,P
CDK5R2,GO:0000079,P
CDK5RAP3,GO:0000079,P
CDK7,GO:0000079,P
