gene,GO.term,type
CBX5,GO:0000118,C
CIR1,GO:0000118,C
DNTTIP1,GO:0000118,C
ELMSAN1,GO:0000118,C
HDAC10,GO:0000118,C
HDAC11,GO:0000118,C
HDAC1,GO:0000118,C
HDAC2,GO:0000118,C
HDAC3,GO:0000118,C
HDAC4,GO:0000118,C
HDAC5,GO:0000118,C
HDAC6,GO:0000118,C
HDAC7,GO:0000118,C
HDAC8,GO:0000118,C
HDAC9,GO:0000118,C
HINT1,GO:0000118,C
MBD2,GO:0000118,C
MECOM,GO:0000118,C
MTA2,GO:0000118,C
NCOR1,GO:0000118,C
NCOR2,GO:0000118,C
NRIP1,GO:0000118,C
PHF21A,GO:0000118,C
RERE,GO:0000118,C
SAP18,GO:0000118,C
SAP30,GO:0000118,C
SAP30L,GO:0000118,C
SATB2,GO:0000118,C
TAF6L,GO:0000118,C
TAL1,GO:0000118,C
TBL1X,GO:0000118,C
TBL1XR1,GO:0000118,C
TBL1Y,GO:0000118,C
TRERF1,GO:0000118,C
ZNF217,GO:0000118,C
ZNF541,GO:0000118,C
CREBBP,GO:0000123,C
DPF1,GO:0000123,C
DPF2,GO:0000123,C
DPF3,GO:0000123,C
EP300,GO:0000123,C
HCFC1,GO:0000123,C
ING4,GO:0000123,C
JADE1,GO:0000123,C
JADE2,GO:0000123,C
JADE3,GO:0000123,C
KANSL1,GO:0000123,C
KANSL1L,GO:0000123,C
KANSL2,GO:0000123,C
KANSL3,GO:0000123,C
KAT5,GO:0000123,C
KAT6A,GO:0000123,C
KAT6B,GO:0000123,C
KAT7,GO:0000123,C
KAT8,GO:0000123,C
MCRS1,GO:0000123,C
MORF4L1,GO:0000123,C
MORF4L2,GO:0000123,C
MSL3,GO:0000123,C
MSL3P1,GO:0000123,C
OGT,GO:0000123,C
PHF10,GO:0000123,C
PHF20,GO:0000123,C
RSF1,GO:0000123,C
WDR5,GO:0000123,C
ATL1,GO:0000137,C
GOLGA2,GO:0000137,C
GOLGA6A,GO:0000137,C
GOLGA6B,GO:0000137,C
GOLGA8A,GO:0000137,C
GOLGA8CP,GO:0000137,C
GOLGA8DP,GO:0000137,C
GOLGA8F,GO:0000137,C
GOLGA8H,GO:0000137,C
GOLGA8J,GO:0000137,C
GOLGA8M,GO:0000137,C
GOLGA8O,GO:0000137,C
GOLGA8R,GO:0000137,C
GOLGA8T,GO:0000137,C
GOLT1A,GO:0000137,C
LLGL1,GO:0000137,C
NECAB3,GO:0000137,C
SMPD3,GO:0000137,C
TMEM59,GO:0000137,C
XYLT1,GO:0000137,C
A4GNT,GO:0000139,C
ABCA5,GO:0000139,C
ABCA7,GO:0000139,C
ABCB6,GO:0000139,C
ABCG1,GO:0000139,C
ACBD3,GO:0000139,C
ADAM10,GO:0000139,C
AGPAT3,GO:0000139,C
AGTRAP,GO:0000139,C
ANKRD28,GO:0000139,C
AP1B1,GO:0000139,C
AP1G1,GO:0000139,C
AP1G2,GO:0000139,C
AP1M1,GO:0000139,C
AP1M2,GO:0000139,C
AP1S1,GO:0000139,C
AP1S2,GO:0000139,C
AP1S3,GO:0000139,C
AP3D1,GO:0000139,C
APOO,GO:0000139,C
ARCN1,GO:0000139,C
AREG,GO:0000139,C
ARF1,GO:0000139,C
ARF3,GO:0000139,C
ARFGAP1,GO:0000139,C
ARFGAP2,GO:0000139,C
ARFGAP3,GO:0000139,C
ARFGEF1,GO:0000139,C
ARFGEF2,GO:0000139,C
ARFIP1,GO:0000139,C
ARHGAP21,GO:0000139,C
ARHGAP32,GO:0000139,C
ARL3,GO:0000139,C
ARRB1,GO:0000139,C
ATF6,GO:0000139,C
ATL1,GO:0000139,C
ATP2C1,GO:0000139,C
ATP2C2,GO:0000139,C
ATP7B,GO:0000139,C
ATP8A1,GO:0000139,C
B2M,GO:0000139,C
B3GALNT1,GO:0000139,C
B3GALNT2,GO:0000139,C
B3GALT1,GO:0000139,C
B3GALT2,GO:0000139,C
B3GALT4,GO:0000139,C
B3GALT6,GO:0000139,C
B3GAT1,GO:0000139,C
B3GAT2,GO:0000139,C
B3GAT3,GO:0000139,C
B3GNT2,GO:0000139,C
B3GNT3,GO:0000139,C
B3GNT4,GO:0000139,C
B3GNT5,GO:0000139,C
B3GNT6,GO:0000139,C
B3GNT7,GO:0000139,C
B3GNT8,GO:0000139,C
B3GNT9,GO:0000139,C
B4GALNT1,GO:0000139,C
B4GALNT2,GO:0000139,C
B4GALT1,GO:0000139,C
B4GALT2,GO:0000139,C
B4GALT3,GO:0000139,C
B4GALT4,GO:0000139,C
B4GALT5,GO:0000139,C
B4GALT6,GO:0000139,C
B4GALT7,GO:0000139,C
B4GAT1,GO:0000139,C
BET1,GO:0000139,C
BET1L,GO:0000139,C
BLZF1,GO:0000139,C
BSG,GO:0000139,C
C1GALT1C1,GO:0000139,C
C1GALT1,GO:0000139,C
CABP1,GO:0000139,C
CAMK1G,GO:0000139,C
CAV1,GO:0000139,C
CAV2,GO:0000139,C
CAV3,GO:0000139,C
CBFA2T3,GO:0000139,C
CD1E,GO:0000139,C
CD55,GO:0000139,C
CD59,GO:0000139,C
CD74,GO:0000139,C
CDC42,GO:0000139,C
CDIPT,GO:0000139,C
