gene,GO.term,type
AARS2,GO:0000049,F
AARS,GO:0000049,F
AIMP1,GO:0000049,F
ALKBH1,GO:0000049,F
ALKBH8,GO:0000049,F
ATP5J2-PTCD1,GO:0000049,F
CARS,GO:0000049,F
CTU1,GO:0000049,F
CTU2,GO:0000049,F
DARS2,GO:0000049,F
DTD1,GO:0000049,F
DTD2,GO:0000049,F
EARS2,GO:0000049,F
EEF1A1,GO:0000049,F
EEFSEC,GO:0000049,F
EIF2A,GO:0000049,F
EIF2AK4,GO:0000049,F
FARS2,GO:0000049,F
FARSA,GO:0000049,F
HSD17B10,GO:0000049,F
IARS2,GO:0000049,F
IARS,GO:0000049,F
IFIT5,GO:0000049,F
IGHMBP2,GO:0000049,F
KARS,GO:0000049,F
MARS,GO:0000049,F
METTL1,GO:0000049,F
MRPS27,GO:0000049,F
NEMF,GO:0000049,F
NSUN2,GO:0000049,F
NSUN3,GO:0000049,F
NSUN6,GO:0000049,F
PSTK,GO:0000049,F
PTCD1,GO:0000049,F
PUS1,GO:0000049,F
RARS,GO:0000049,F
RPL35A,GO:0000049,F
SEPSECS,GO:0000049,F
SLFN11,GO:0000049,F
SSB,GO:0000049,F
TARS,GO:0000049,F
TERT,GO:0000049,F
THG1L,GO:0000049,F
TRMT10A,GO:0000049,F
TRMT10B,GO:0000049,F
TRMT10C,GO:0000049,F
TRMT11,GO:0000049,F
TRMT1,GO:0000049,F
TRMT1L,GO:0000049,F
TRMU,GO:0000049,F
TRNT1,GO:0000049,F
TYW5,GO:0000049,F
XPO5,GO:0000049,F
XPOT,GO:0000049,F
YARS2,GO:0000049,F
YARS,GO:0000049,F
YRDC,GO:0000049,F
ANKRD27,GO:0000149,F
BAIAP3,GO:0000149,F
CAPN10,GO:0000149,F
CPLX1,GO:0000149,F
CPLX2,GO:0000149,F
EXOC3,GO:0000149,F
EXOC3L4,GO:0000149,F
GABARAPL2,GO:0000149,F
GOSR2,GO:0000149,F
LRRK2,GO:0000149,F
NAPA,GO:0000149,F
NBAS,GO:0000149,F
NSF,GO:0000149,F
SEC24C,GO:0000149,F
SEC24D,GO:0000149,F
SNAPIN,GO:0000149,F
STX10,GO:0000149,F
STX11,GO:0000149,F
STX12,GO:0000149,F
STX16,GO:0000149,F
STX16-NPEPL1,GO:0000149,F
STX17,GO:0000149,F
