System,Standard,SGD,type,GO.term
YBR081C,SPT7,S000000285,C,GO:0000124
YBR111W-A,SUS1,S000028510,C,GO:0000124
YBR198C,TAF5,S000000402,C,GO:0000124
YCL010C,SGF29,S000000516,C,GO:0000124
YDR145W,TAF12,S000002552,C,GO:0000124
YDR167W,TAF10,S000002574,C,GO:0000124
YDR176W,NGG1,S000002583,C,GO:0000124
YDR392W,SPT3,S000002800,C,GO:0000124
YDR448W,ADA2,S000002856,C,GO:0000124
YER164W,CHD1,S000000966,C,GO:0000124
YGL066W,SGF73,S000003034,C,GO:0000124
YGL112C,TAF6,S000003080,C,GO:0000124
YGR252W,GCN5,S000003484,C,GO:0000124
YHR099W,TRA1,S000001141,C,GO:0000124
YLR055C,SPT8,S000004045,C,GO:0000124
YMR223W,UBP8,S000004836,C,GO:0000124
YMR236W,TAF9,S000004849,C,GO:0000124
YOL148C,SPT20,S000005508,C,GO:0000124
YPL047W,SGF11,S000005968,C,GO:0000124
YPL254W,HFI1,S000006175,C,GO:0000124
YAL041W,CDC24,S000000039,C,GO:0000131
YAR014C,BUD14,S000000069,C,GO:0000131
YBL061C,SKT5,S000000157,C,GO:0000131
YBR023C,CHS3,S000000227,C,GO:0000131
YBR079C,RPG1,S000000283,C,GO:0000131
YBR102C,EXO84,S000000306,C,GO:0000131
YBR109C,CMD1,S000000313,C,GO:0000131
YBR200W,BEM1,S000000404,C,GO:0000131
YCL024W,KCC4,S000000529,C,GO:0000131
YCR038C,BUD5,S000000634,C,GO:0000131
YDL127W,PCL2,S000002285,C,GO:0000131
YDL179W,PCL9,S000002338,C,GO:0000131
YDL240W,LRG1,S000002399,C,GO:0000131
YDR166C,SEC5,S000002573,C,GO:0000131
YDR309C,GIC2,S000002717,C,GO:0000131
YER008C,SEC3,S000000810,C,GO:0000131
YER144C,UBP5,S000000946,C,GO:0000131
YER149C,PEA2,S000000951,C,GO:0000131
YER155C,BEM2,S000000957,C,GO:0000131
YFL005W,SEC4,S000001889,C,GO:0000131
YGL233W,SEC15,S000003202,C,GO:0000131
YGR189C,CRH1,S000003421,C,GO:0000131
YGR221C,TOS2,S000003453,C,GO:0000131
YGR229C,SMI1,S000003461,C,GO:0000131
YHL007C,STE20,S000000999,C,GO:0000131
YHR023W,MYO1,S000001065,C,GO:0000131
YHR061C,GIC1,S000001103,C,GO:0000131
YHR102W,KIC1,S000001144,C,GO:0000131
YHR149C,SKG6,S000001192,C,GO:0000131
YIL034C,CAP2,S000001296,C,GO:0000131
YIL129C,TAO3,S000001391,C,GO:0000131
YIL140W,AXL2,S000001402,C,GO:0000131
YJL085W,EXO70,S000003621,C,GO:0000131
YKL007W,CAP1,S000001490,C,GO:0000131
YKL079W,SMY1,S000001562,C,GO:0000131
YKL092C,BUD2,S000001575,C,GO:0000131
YKL189W,HYM1,S000001672,C,GO:0000131
YKR055W,RHO4,S000001763,C,GO:0000131
YKR090W,PXL1,S000001798,C,GO:0000131
YKR100C,SKG1,S000001808,C,GO:0000131
YLL021W,SPA2,S000003944,C,GO:0000131
YLR190W,MMR1,S000004180,C,GO:0000131
YLR229C,CDC42,S000004219,C,GO:0000131
YLR313C,SPH1,S000004305,C,GO:0000131
YLR319C,BUD6,S000004311,C,GO:0000131
YLR337C,VRP1,S000004329,C,GO:0000131
YLR353W,BUD8,S000004345,C,GO:0000131
YLR371W,ROM2,S000004363,C,GO:0000131
YLR425W,TUS1,S000004417,C,GO:0000131
YMR192W,GYL1,S000004804,C,GO:0000131
YMR273C,ZDS1,S000004886,C,GO:0000131
YNL161W,CBK1,S000005105,C,GO:0000131
YNL233W,BNI4,S000005177,C,GO:0000131
YNL243W,SLA2,S000005187,C,GO:0000131
YNL271C,BNI1,S000005215,C,GO:0000131
YNL289W,PCL1,S000005233,C,GO:0000131
YNL293W,MSB3,S000005237,C,GO:0000131
YNL304W,YPT11,S000005248,C,GO:0000131
YNR031C,SSK2,S000005314,C,GO:0000131
YOL112W,MSB4,S000005472,C,GO:0000131
YOR326W,MYO2,S000005853,C,GO:0000131
