System,Standard,SGD,type,GO.term
YAL023C,PMT2,S000000021,F,GO:0000030
YBL082C,ALG3,S000000178,F,GO:0000030
YBR004C,GPI18,S000000208,F,GO:0000030
YBR110W,ALG1,S000000314,F,GO:0000030
YBR161W,CSH1,S000000365,F,GO:0000030
YBR199W,KTR4,S000000403,F,GO:0000030
YBR205W,KTR3,S000000409,F,GO:0000030
YCL052C,PBN1,S000000557,F,GO:0000030
YDL093W,PMT5,S000002251,F,GO:0000030
YDL095W,PMT1,S000002253,F,GO:0000030
YDR307W,PMT7,S000002715,F,GO:0000030
YDR483W,KRE2,S000002891,F,GO:0000030
YEL036C,ANP1,S000000762,F,GO:0000030
YGL142C,GPI10,S000003110,F,GO:0000030
YGR199W,PMT6,S000003431,F,GO:0000030
YIL085C,KTR7,S000001347,F,GO:0000030
YJL139C,YUR1,S000003675,F,GO:0000030
YJR013W,GPI14,S000003774,F,GO:0000030
YJR143C,PMT4,S000003904,F,GO:0000030
YKR061W,KTR2,S000001769,F,GO:0000030
YNL029C,KTR5,S000004974,F,GO:0000030
YNL158W,PGA1,S000005102,F,GO:0000030
YNL219C,ALG9,S000005163,F,GO:0000030
YNR030W,ALG12,S000005313,F,GO:0000030
YOR099W,KTR1,S000005625,F,GO:0000030
YOR149C,SMP3,S000005675,F,GO:0000030
YOR321W,PMT3,S000005848,F,GO:0000030
YPL053C,KTR6,S000005974,F,GO:0000030
YPL057C,SUR1,S000005978,F,GO:0000030
YAL005C,SSA1,S000000004,F,GO:0000049
YBL024W,NCL1,S000000120,F,GO:0000049
YBL076C,ILS1,S000000172,F,GO:0000049
YDL033C,SLM3,S000002191,F,GO:0000049
YDL051W,LHP1,S000002209,F,GO:0000049
YDL201W,TRM8,S000002360,F,GO:0000049
YDL219W,DTD1,S000002378,F,GO:0000049
YDR120C,TRM1,S000002527,F,GO:0000049
YDR283C,GCN2,S000002691,F,GO:0000049
YER025W,GCD11,S000000827,F,GO:0000049
YFL022C,FRS2,S000001872,F,GO:0000049
YGL105W,ARC1,S000003073,F,GO:0000049
YGL122C,NAB2,S000003090,F,GO:0000049
YGL169W,SUA5,S000003137,F,GO:0000049
YGL211W,NCS6,S000003179,F,GO:0000049
YGR054W,YGR054W,S000003286,F,GO:0000049
YGR128C,UTP8,S000003360,F,GO:0000049
YHR187W,IKI1,S000001230,F,GO:0000049
YKL205W,LOS1,S000001688,F,GO:0000049
YLL024C,SSA2,S000003947,F,GO:0000049
YLR384C,IKI3,S000004376,F,GO:0000049
YML014W,TRM9,S000004476,F,GO:0000049
YMR312W,ELP6,S000004929,F,GO:0000049
YNL119W,NCS2,S000005063,F,GO:0000049
YOL021C,DIS3,S000005381,F,GO:0000049
YOL023W,IFM1,S000005383,F,GO:0000049
YOL033W,MSE1,S000005393,F,GO:0000049
YOL093W,TRM10,S000005453,F,GO:0000049
YOL124C,TRM11,S000005484,F,GO:0000049
YOR112W,CEX1,S000005638,F,GO:0000049
YOR274W,MOD5,S000005800,F,GO:0000049
YOR335C,ALA1,S000005862,F,GO:0000049
YPL009C,RQC2,S000005930,F,GO:0000049
YPL040C,ISM1,S000005961,F,GO:0000049
YPL101W,ELP4,S000006022,F,GO:0000049
YPR047W,MSF1,S000006251,F,GO:0000049
YAL014C,SYN8,S000000012,F,GO:0000149
YBR080C,SEC18,S000000284,F,GO:0000149
YDR164C,SEC1,S000002571,F,GO:0000149
YDR189W,SLY1,S000002597,F,GO:0000149
YDR468C,TLG1,S000002876,F,GO:0000149
YER143W,DDI1,S000000945,F,GO:0000149
YFL038C,YPT1,S000001856,F,GO:0000149
YGL095C,VPS45,S000003063,F,GO:0000149
YGL212W,VAM7,S000003180,F,GO:0000149
YGR142W,BTN2,S000003374,F,GO:0000149
YIL068C,SEC6,S000001330,F,GO:0000149
YJL204C,RCY1,S000003740,F,GO:0000149
YLR026C,SED5,S000004016,F,GO:0000149
YLR078C,BOS1,S000004068,F,GO:0000149
YLR093C,NYV1,S000004083,F,GO:0000149
YLR360W,VPS38,S000004352,F,GO:0000149
YLR423C,ATG17,S000004415,F,GO:0000149
YMR183C,SSO2,S000004795,F,GO:0000149
YMR197C,VTI1,S000004810,F,GO:0000149
YOL018C,TLG2,S000005378,F,GO:0000149
YOR036W,PEP12,S000005562,F,GO:0000149
YOR106W,VAM3,S000005632,F,GO:0000149
YPL166W,ATG29,S000006087,F,GO:0000149
YPL232W,SSO1,S000006153,F,GO:0000149
YPR032W,SRO7,S000006236,F,GO:0000149
YPR049C,ATG11,S000006253,F,GO:0000149
YAL005C,SSA1,S000000004,F,GO:0000166
YAL017W,PSK1,S000000015,F,GO:0000166
YAL019W,FUN30,S000000017,F,GO:0000166
YAL026C,DRS2,S000000024,F,GO:0000166
YAL029C,MYO4,S000000027,F,GO:0000166
YAL035W,FUN12,S000000033,F,GO:0000166
YAL036C,RBG1,S000000034,F,GO:0000166
YAL038W,CDC19,S000000036,F,GO:0000166
YAL048C,GEM1,S000000046,F,GO:0000166
YAL054C,ACS1,S000000050,F,GO:0000166
YAR015W,ADE1,S000000070,F,GO:0000166
YAR018C,KIN3,S000000071,F,GO:0000166
YAR019C,CDC15,S000000072,F,GO:0000166
YBL005W-B,YBL005W-B,S000002147,F,GO:0000166
YBL009W,ALK2,S000000105,F,GO:0000166
YBL016W,FUS3,S000000112,F,GO:0000166
YBL017C,PEP1,S000000113,F,GO:0000166
YBL022C,PIM1,S000000118,F,GO:0000166
YBL023C,MCM2,S000000119,F,GO:0000166
YBL033C,RIB1,S000000129,F,GO:0000166
YBL039C,URA7,S000000135,F,GO:0000166
YBL063W,KIP1,S000000159,F,GO:0000166
YBL068W,PRS4,S000000164,F,GO:0000166
YBL075C,SSA3,S000000171,F,GO:0000166
YBL076C,ILS1,S000000172,F,GO:0000166
