Set	V	E	Iso	MaxD	ClustC	Diam	Dist	MaxClust	MaxCliq	Bpmax	Ccmax	Mfmax
1	1	0.143190143	0.209677419	1	0.050017978	0.1	0.038762742	0.878453039	0.25	0.038325224	0.128682651	0.034952784
2	1	0.2001332	0.185483871	0.227272727	0.40847804	0.5	0.383739324	0.850828729	0.285714286	0.296093153	0.303031644	0.256640568
3	0.410714286	0.013320013	0.39516129	0.032467532	0.061724928	0.6	0.548532452	0.149171271	0	0.065116407	0	0.068122969
4	0.023809524	0.003330003	0.10483871	0.006493506	0.181046815	0.3	0.331892686	0.044198895	0	0.137142228	0.106159132	0.085733824
5	1	0.184815185	0.314516129	0.175324675	0.278459925	0.4	0.303339037	0.762430939	0.142857143	0.15999009	0.229931582	0.193565737
6	0.071428571	0	0.193548387	0	0.034032584	0.1	0.191680286	0.005524862	0	0.089065371	0.066354065	0.139304018
7	0.767857143	0.150516151	0.161290323	0.24025974	0.169865367	0.2	0.222150681	0.696132597	0.142857143	0.128870201	0.096626264	0.139304018
8	0.476190476	0.024642025	0.403225806	0.032467532	0.455082231	0.8	0.972104192	0.226519337	0.107142857	0.187531399	0.249439677	0.298447141
9	0.25	0.01032301	0.314516129	0.032467532	0.383428962	0.3	0.234034064	0.077348066	0.071428571	0	0.016986641	0.004909833
10	0.630952381	0.081585082	0.266129032	0.149350649	0.154182887	0.3	0.284387158	0.475138122	0.071428571	0.239936962	0.266721224	0.308796976
11	1	0.113553114	0.419354839	0.142857143	0.204200965	0.4	0.371568011	0.723756906	0.142857143	0.193360356	0.253398803	0.173841886
12	0.702380952	0.41991342	0.274193548	0.376623377	0.722145486	0.2	0.080582556	0.55801105	1	0.485193622	0.366643074	0.271439219
13	1	0.565434565	0.048387097	0.441558442	0.377652567	0.2	0.091009159	0.988950276	0.678571429	0.238815214	0.264767466	0.115454063
14	1	0.162504163	0.338709677	0.168831169	0.176658821	0.3	0.3312871	0.762430939	0.142857143	0.370176658	0.44943083	0.455869133
15	1	0.03962704	0.862903226	0.168831169	0.031885402	0.5	0.38062306	0.342541436	0.035714286	0.075569992	0.031068448	0.061107824
16	1	0.03030303	0.879032258	0.038961039	0.145418975	0.7	0.768997374	0.314917127	0.071428571	0.022689579	0.0841517	0.023388937
17	0.75	0.107226107	0.475806452	0.214285714	0.365360996	0.2	0.162534042	0.453038674	0.285714286	0.069245539	0.17453331	0.098027615
18	1	0.526806527	0.088709677	0.487012987	0.321950469	0.1	0.058273353	0.950276243	0.678571429	0.199306306	0.262577782	0.139304018
19	1	0.196470196	0.580645161	0.220779221	0.578367834	0.4	0.337907539	0.624309392	0.392857143	0.264092382	0.151478958	0.208671733
20	0.023809524	0.001998002	0.096774194	0.006493506	0.378056694	0.2	0.200865443	0.005524862	0.035714286	0.148001844	0.159404583	0.133548987
21	1	0.031968032	0.758064516	0.032467532	0.153835203	1	1	0.342541436	0.035714286	0.018918305	0.021388127	0.001029605
22	1	0.13986014	0.491935484	0.24025974	0.428287124	0.3	0.294895521	0.662983425	0.321428571	0.156521619	0.095992214	0.10326016
23	1	0.043290043	0.64516129	0.188311688	0	0.8	0.606978322	0.475138122	0.035714286	0.041167443	0.078157716	0
24	0.327380952	0.063603064	0.072580645	0.116883117	0.342830102	0.2	0.193249672	0.287292818	0.178571429	0.312795491	0.272405556	0.35960875
25	1	0.131535132	0.508064516	0.155844156	0.824113137	0.4	0.461277701	0.613259669	0.535714286	0.99332457	0.643383762	0.720961682
26	0.386904762	0.016650017	0.387096774	0.032467532	0.313033729	0.6	0.550223879	0.143646409	0.071428571	0.094268077	0.086732136	0.049574712
27	1	0.118548119	0.475806452	0.11038961	0.324357008	0.4	0.432813355	0.674033149	0.178571429	0.239668568	0.127045917	0.274581819
28	1	0.025974026	0.991935484	0.025974026	1	0.2	0.000691679	0.011049724	0.214285714	0.394978976	0.233595801	0.297548157
29	1	0.022644023	1	0.019480519	0.577228547	0.3	0.108453123	0.016574586	0.071428571	0.045255284	0.09443658	0.028006792
30	1	0.403929404	0.080645161	0.357142857	0.497997834	0.1	0.145925876	0.944751381	0.785714286	0.369749981	0.42117137	0.205629019
