"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","HALLMARK_ADIPOGENESIS","18.434","17.769","16.574","26.675","25.948","21.602","18.01","15.36","14.398","23.029","22.952","18.985"
"2","HALLMARK_ALLOGRAFT_REJECTION","55.89","55.26","49.809","50.323","49.755","47.667","46.862","35.897","31.61","52.186","50.043","49.944"
"3","HALLMARK_ANDROGEN_RESPONSE","13.983","13.16","13.15","9.221","9.18","8.733","13.15","12.636","11.831","10.325","8.563","8.093"
"4","HALLMARK_ANGIOGENESIS","32.793","20.86","20.182","23.62","22.874","18.604","24.619","18.049","16.74","21.951","21.212","20.528"
"5","HALLMARK_APICAL_JUNCTION","36.113","32.159","31.28","40.408","32.64","30.663","38.653","37.39","34.475","43.193","38.862","34.213"
"6","HALLMARK_APICAL_SURFACE","14.174","10.654","9.368","16.512","11.648","7.962","23.88","14.81","12.832","12.106","10.459","8.682"
"7","HALLMARK_APOPTOSIS","27.164","26","23.933","19.898","18.68","18.246","28.141","24.158","22.373","34.192","29.849","29.473"
"8","HALLMARK_BILE_ACID_METABOLISM","40.115","37.184","37.145","43.054","25.625","25.331","52.303","49.749","48.864","27.057","26.108","22.025"
"9","HALLMARK_CHOLESTEROL_HOMEOSTASIS","11.587","11.543","9.355","11.525","11.514","10.519","10.507","9.695","8.72","16.843","9.597","8.47"
"10","HALLMARK_COAGULATION","47.73","44.521","44.035","45.398","43.759","41.295","53.65","36.235","24.07","62.947","42.66","25.56"
"11","HALLMARK_COMPLEMENT","40.962","40.201","37.156","43.591","31.126","29.249","36.086","26.789","25.07","36.839","26.257","23.339"
"12","HALLMARK_DNA_REPAIR","83.368","82.545","72.61","58.951","56.735","50.48","48.788","46.232","44.787","77.438","67.095","47.736"
"13","HALLMARK_E2F_TARGETS","47.567","39.109","35.058","45.133","31.814","31.418","28.487","23.117","21.422","36.701","34.19","32.522"
"14","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","66.655","43.318","40.5","70.18","67.896","45.032","72.791","51.214","40.616","62.841","42.09","38.867"
"15","HALLMARK_ESTROGEN_RESPONSE_EARLY","23.846","20.882","17.066","13.435","12.585","12.445","21.414","17.812","16.261","21.797","20.499","19.671"
"16","HALLMARK_ESTROGEN_RESPONSE_LATE","16.162","16.031","15.683","20.635","16.185","13.261","16.505","15.027","13.52","23.184","22.194","17.798"
"17","HALLMARK_FATTY_ACID_METABOLISM","22.927","22.405","22.39","32.894","28.191","24.473","26.219","19.392","17.771","29.986","21.601","21.47"
"18","HALLMARK_G2M_CHECKPOINT","41.826","31.847","25.991","44.836","32.097","31.002","23.088","21.493","18.166","35.262","21.003","19.291"
"19","HALLMARK_GLYCOLYSIS","51.24","36.123","35.035","29.767","27.399","23.492","40.619","33.752","26.258","50.951","32.497","28.483"
"20","HALLMARK_HEDGEHOG_SIGNALING","32.11","22.248","21.948","28.148","11.938","11.146","28.148","15.152","14.307","20.03","16.563","15.221"
"21","HALLMARK_HEME_METABOLISM","15.614","12.729","11.938","12.122","10.185","10.032","13.595","10.157","9.414","10.064","8.383","7.312"
"22","HALLMARK_HYPOXIA","35.609","30.139","29.937","22.241","18.12","14.99","26.9","22.953","21.959","38.435","35.715","15.587"
"23","HALLMARK_IL2_STAT5_SIGNALING","18.847","18.762","17.432","19.822","15.536","13.65","13.461","12.658","11.944","22.052","20.362","18.397"
"24","HALLMARK_IL6_JAK_STAT3_SIGNALING","58.317","55.736","49.715","46.169","37.198","36.603","60.263","40.671","36.075","68.965","67.279","37.545"
"25","HALLMARK_INFLAMMATORY_RESPONSE","157.204","77.471","77.066","96.487","79.193","41.515","107.292","53.009","49.565","105.084","62.501","53.174"
"26","HALLMARK_INTERFERON_ALPHA_RESPONSE","26.563","25.174","24.407","20.985","19.947","17.343","19.913","19.198","16.954","27.377","22.698","21.761"
"27","HALLMARK_INTERFERON_GAMMA_RESPONSE","47.691","42.91","41.503","26.453","24.464","23.759","49.197","28.543","23.319","43.898","42.876","39.99"
"28","HALLMARK_KRAS_SIGNALING_DN","70.259","35.074","34.804","40.905","33.177","19.382","52.186","27.567","27.237","50.515","28.25","24.339"
"29","HALLMARK_KRAS_SIGNALING_UP","19.441","16.975","16.164","22.03","15.716","15.6","17.106","15.923","14.217","20.983","18.551","15.985"
"30","HALLMARK_MITOTIC_SPINDLE","66.593","58.884","56.84","66.347","59.075","49.77","40.223","35.222","31","27.658","22.635","22.195"
"31","HALLMARK_MTORC1_SIGNALING","21.195","20.304","19.615","31.196","25.058","22.777","21.145","20.654","20.486","31.533","25.354","17.457"
"32","HALLMARK_MYC_TARGETS_V1","32.985","24.639","24.326","30.177","28.139","25.159","23.744","22.515","19.589","28.748","21.311","17.772"
"33","HALLMARK_MYC_TARGETS_V2","40.305","21.503","19.666","36.847","35.352","23.435","22.212","21.218","14.426","35.618","20.239","14.564"
"34","HALLMARK_MYOGENESIS","73.619","50.681","43.844","56.463","35.973","35.704","59.723","44.385","37.306","41.149","40.821","33.742"
"35","HALLMARK_NOTCH_SIGNALING","28.68","23.408","23.225","22.77","16.423","15.201","29.708","22.247","16.252","35.248","25.417","18.11"
"36","HALLMARK_OXIDATIVE_PHOSPHORYLATION","158.174","130.815","53.518","144.857","114.285","80.941","143.608","71.112","62.818","131.407","106.522","89.046"
"37","HALLMARK_P53_PATHWAY","20.454","20.411","18.294","16.217","15.655","11.959","19.387","18.455","16.202","19.611","18.31","18.283"
"38","HALLMARK_PANCREAS_BETA_CELLS","28.637","23.239","22.236","23.04","15.883","15.724","23.05","10.826","10.403","25.044","13.982","9.785"
"39","HALLMARK_PEROXISOME","27.461","24.297","24.192","26.78","25.575","21.211","23.906","23.906","11.015","27.134","10.061","9.114"
"40","HALLMARK_PI3K_AKT_MTOR_SIGNALING","105.571","32.102","31.164","32.46","15.748","15.521","106.482","66.18","32.667","33.228","30.423","29.43"
"41","HALLMARK_PROTEIN_SECRETION","75.723","56.713","54.865","67.963","60.171","53.635","53.439","44.318","42.595","59.573","30.663","27.941"
"42","HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY","32.898","27.79","19.446","28.081","19.491","19.339","29.216","16.552","14.418","21.443","19.033","17.416"
"43","HALLMARK_SPERMATOGENESIS","14.944","10.881","10.244","11.814","9.367","8.471","12.778","8.193","7.881","9.722","8.561","8.387"
"44","HALLMARK_TGF_BETA_SIGNALING","42.652","34.961","34.958","31.445","24.584","24.072","36.895","34.556","33.552","36.326","25.44","25.026"
"45","HALLMARK_TNFA_SIGNALING_VIA_NFKB","31.948","28.418","28.368","18.641","16.969","15.825","23.409","23.401","21.684","32.845","32.353","31.79"
"46","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","31.834","31.534","28.206","24.479","23.523","22.536","22.384","20.561","19.685","23.655","22.618","18.027"
"47","HALLMARK_UV_RESPONSE_DN","21.24","19.537","18.983","31.386","17.993","17.032","21.841","19.872","19.324","24.283","23.233","23.113"
"48","HALLMARK_UV_RESPONSE_UP","8.771","8.094","7.924","13.386","11.704","10.325","14.451","7.731","7.31","10.499","9.238","8.819"
