GO.ID	GO.Term	Z-score
GO:0000245	spliceosomal complex assembly	-9.467
GO:0000375	RNA splicing, via transesterification reactions	-8.647
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	-8.374
GO:0000398	mRNA splicing, via spliceosome	-25.573
GO:0006369	termination of RNA polymerase II transcription	-9.622
GO:0006405	RNA export from nucleus	-11.203
GO:0006406	mRNA export from nucleus	-13.816
GO:0008380	RNA splicing	-11.357
GO:0016070	RNA metabolic process	-10.41
GO:0031124	mRNA 3'-end processing	-15.223
