GO.ID	GO.Term
GO:0007223	Wnt signaling pathway, calcium modulating pathway
GO:0090090	negative regulation of canonical Wnt signaling pathway
GO:0060071	Wnt signaling pathway, planar cell polarity pathway
GO:0035567	non-canonical Wnt signaling pathway
GO:0060070	canonical Wnt signaling pathway
GO:0016055	Wnt signaling pathway
GO:0030177	positive regulation of Wnt signaling pathway
GO:0030111	regulation of Wnt signaling pathway
GO:0030178	negative regulation of Wnt signaling pathway
GO:0090263	positive regulation of canonical Wnt signaling pathway
GO:0060828	regulation of canonical Wnt signaling pathway
