GO.ID	GO.Term
GO:0016607	nuclear speck
GO:0071007	U2-type catalytic step 2 spliceosome
GO:0046540	U4/U6 x U5 tri-snRNP complex
GO:0005689	U12-type spliceosomal complex
GO:0005730	nucleolus
GO:0071013	catalytic step 2 spliceosome
GO:0005681	spliceosomal complex
GO:0005654	nucleoplasm
GO:0005762	mitochondrial large ribosomal subunit
GO:0005743	mitochondrial inner membrane
GO:0005763	mitochondrial small ribosomal subunit
GO:0005761	mitochondrial ribosome
GO:0005747	mitochondrial respiratory chain complex I
