"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	"137.059"	"1353"	"80.08"	"9.287"
"GO:0003954"	"NADH dehydrogenase activity"	"65.388"	"286"	"19.86"	"4.07"
"GO:0004129"	"cytochrome-c oxidase activity"	"64.787"	"436"	"31.3"	"6.247"
"GO:0004466"	"long-chain-acyl-CoA dehydrogenase activity"	"37.349"	"67"	"3.81"	"1.692"
"GO:0009055"	"electron transfer activity"	"36.692"	"519"	"109.3"	"11.166"
"GO:0008121"	"ubiquinol-cytochrome-c reductase activity"	"35.985"	"121"	"10.63"	"3.067"
"GO:0051537"	"2 iron, 2 sulfur cluster binding"	"30.57"	"172"	"24.74"	"4.817"
"GO:0048039"	"ubiquinone binding"	"30.413"	"68"	"5.23"	"2.064"
"GO:0046961"	"proton-transporting ATPase activity, rotational mechanism"	"27.473"	"382"	"97.88"	"10.342"
"GO:0004332"	"fructose-bisphosphate aldolase activity"	"26.736"	"116"	"12.95"	"3.854"
"GO:0008553"	"proton-exporting ATPase activity, phosphorylative mechanism"	"26.118"	"219"	"49.44"	"6.492"
"GO:0017099"	"very-long-chain-acyl-CoA dehydrogenase activity"	"23.037"	"76"	"8.15"	"2.945"
"GO:0045155"	"electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity"	"22.671"	"53"	"4.76"	"2.128"
"GO:0061609"	"fructose-1-phosphate aldolase activity"	"22.594"	"57"	"5.91"	"2.261"
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	"21.738"	"233"	"67.26"	"7.625"
"GO:0048038"	"quinone binding"	"21.271"	"61"	"6.91"	"2.543"
"GO:0042625"	"ATPase coupled ion transmembrane transporter activity"	"20.389"	"33"	"2.29"	"1.506"
"GO:0000036"	"acyl carrier activity"	"20.342"	"30"	"1.87"	"1.383"
"GO:0061690"	"lipoamidase activity"	"20.316"	"34"	"2.85"	"1.533"
