"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"R-HSA-163200"	"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."	"185.999"	"2267"	"156.28"	"11.348"
"R-HSA-611105"	"Respiratory electron transport"	"180.129"	"2245"	"154.32"	"11.607"
"R-HSA-6799198"	"Complex I biogenesis"	"177.77"	"1635"	"94"	"8.668"
"R-HSA-1428517"	"The citric acid (TCA) cycle and respiratory electron transport"	"142.888"	"2784"	"328.92"	"17.182"
"R-HSA-1430728"	"Metabolism"	"62.272"	"6999"	"3648"	"53.812"
"R-HSA-5368287"	"Mitochondrial translation"	"39.135"	"873"	"245.48"	"16.035"
"R-HSA-5368286"	"Mitochondrial translation initiation"	"39.112"	"809"	"226.74"	"14.887"
"R-HSA-5389840"	"Mitochondrial translation elongation"	"38.929"	"824"	"233.4"	"15.171"
"R-HSA-5419276"	"Mitochondrial translation termination"	"36.725"	"818"	"230.1"	"16.008"
"R-HSA-1268020"	"Mitochondrial protein import"	"34.121"	"667"	"180.22"	"14.266"
"R-HSA-917977"	"Transferrin endocytosis and recycling"	"31.718"	"474"	"134.8"	"10.694"
"R-HSA-71406"	"Pyruvate metabolism and Citric Acid (TCA) cycle"	"29.423"	"555"	"177.44"	"12.832"
"R-HSA-77387"	"Insulin receptor recycling"	"28.352"	"473"	"130.5"	"12.08"
"R-HSA-1222556"	"ROS, RNS production in phagocytes"	"27.857"	"464"	"133.64"	"11.859"
"R-HSA-389661"	"Glyoxylate metabolism and glycine degradation"	"25.241"	"274"	"73.48"	"7.944"
"R-HSA-2142789"	"Ubiquinol biosynthesis"	"24.998"	"70"	"8.3"	"2.468"
"R-HSA-71403"	"Citric acid cycle (TCA cycle)"	"24.44"	"357"	"110.56"	"10.084"
"WP3349"	"TP53 Regulates Metabolic Genes"	"23.577"	"795"	"364.38"	"18.264"
"hsa00620"	"Pyruvate metabolism"	"19.338"	"235"	"76.26"	"8.209"
"SMP00128"	"Gluconeogenesis"	"19.2"	"499"	"185.28"	"16.34"
"R-HSA-204174"	"Regulation of pyruvate dehydrogenase (PDH) complex"	"18.878"	"181"	"55.38"	"6.654"
"R-HSA-70895"	"Branched-chain amino acid catabolism"	"18.611"	"158"	"45.14"	"6.064"
"R-HSA-389960"	"Formation of tubulin folding intermediates by CCT/TriC"	"17.861"	"768"	"404.4"	"20.357"
"R-HSA-77289"	"Mitochondrial Fatty Acid Beta-Oxidation"	"17.552"	"98"	"21.44"	"4.362"
"R-HSA-70350"	"Fructose catabolism"	"17.526"	"86"	"17.64"	"3.901"
"R-HSA-6798695"	"Neutrophil degranulation"	"17.146"	"1981"	"1370.84"	"35.585"
"R-HSA-111458"	"Formation of apoptosome"	"16.904"	"33"	"3.94"	"1.719"
"R-HSA-71387"	"Metabolism of carbohydrates"	"16.758"	"1199"	"752.44"	"26.647"
"R-HSA-74752"	"Signaling by Insulin receptor"	"16.659"	"566"	"305.98"	"15.608"
"R-HSA-70326"	"Glucose metabolism"	"16.437"	"907"	"529.74"	"22.952"
"R-HSA-5362517"	"Signaling by Retinoic Acid"	"16.436"	"260"	"107.72"	"9.265"
"R-HSA-389958"	"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding"	"16.166"	"838"	"458.24"	"23.492"
"R-HSA-5652084"	"Fructose metabolism"	"16.067"	"90"	"21.14"	"4.286"
"R-HSA-8949613"	"Cristae formation"	"15.924"	"22"	"1.4"	"1.294"
"R-HSA-163210"	"Formation of ATP by chemiosmotic coupling"	"15.924"	"22"	"1.4"	"1.294"
"R-HSA-180897"	"Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization"	"15.506"	"140"	"41.58"	"6.347"
"SMP00040"	"Glycolysis"	"14.869"	"794"	"488.64"	"20.536"
"R-HSA-389957"	"Prefoldin mediated transfer of substrate  to CCT/TriC"	"14.592"	"677"	"383.8"	"20.094"
"R-HSA-917937"	"Iron uptake and transport"	"14.541"	"829"	"456.14"	"25.641"
"R-HSA-983712"	"Ion channel transport"	"14.4"	"863"	"496.28"	"25.466"
"R-HSA-71064"	"Lysine catabolism"	"14.133"	"107"	"32.18"	"5.294"
"R-HSA-389977"	"Post-chaperonin tubulin folding pathway"	"14.103"	"568"	"287.68"	"19.877"
"R-HSA-382551"	"Transport of small molecules"	"14.044"	"1571"	"1094.16"	"33.953"
"R-HSA-3299685"	"Detoxification of Reactive Oxygen Species"	"14.02"	"192"	"77.46"	"8.17"
"R-HSA-6787450"	"tRNA modification in the mitochondrion"	"13.827"	"47"	"8.8"	"2.763"
"R-HSA-8949215"	"Mitochondrial calcium ion transport"	"13.579"	"150"	"55.18"	"6.983"
"WP3331"	"Mitochondrial biogenesis"	"13.445"	"225"	"107.24"	"8.759"
"R-HSA-379724"	"tRNA Aminoacylation"	"13.426"	"266"	"129.38"	"10.176"
"R-HSA-8955332"	"Carboxyterminal post-translational modifications of tubulin"	"13.318"	"486"	"247.16"	"17.933"
"R-HSA-15869"	"Metabolism of nucleotides"	"13.249"	"363"	"185.78"	"13.376"
"R-HSA-499943"	"Interconversion of nucleotide di- and triphosphates"	"13.181"	"222"	"100.54"	"9.214"
"R-HSA-446219"	"Synthesis of substrates in N-glycan biosythesis"	"12.926"	"158"	"72.14"	"6.643"
"R-HSA-2151201"	"Transcriptional activation of mitochondrial biogenesis"	"12.721"	"153"	"63.56"	"7.031"
"R-HSA-446193"	"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"	"12.466"	"162"	"78.28"	"6.716"
"R-HSA-6788656"	"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism"	"12.127"	"123"	"46.84"	"6.28"
"R-HSA-111457"	"Release of apoptotic factors from the mitochondria"	"12.005"	"40"	"6.9"	"2.757"
"R-HSA-77305"	"Beta oxidation of palmitoyl-CoA to myristoyl-CoA"	"11.995"	"34"	"5.88"	"2.344"
"R-HSA-1614635"	"Sulfur amino acid metabolism"	"11.981"	"138"	"60.62"	"6.458"
"R-HSA-1362409"	"Mitochondrial iron-sulfur cluster biogenesis"	"11.872"	"49"	"10.4"	"3.251"
"R-HSA-351202"	"Metabolism of polyamines"	"11.596"	"93"	"38.9"	"4.665"
"R-HSA-71384"	"Ethanol oxidation"	"11.504"	"119"	"53.8"	"5.668"
"R-HSA-77286"	"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	"11.436"	"54"	"11.94"	"3.678"
"R-HSA-392499"	"Metabolism of proteins"	"11.304"	"7638"	"6550.78"	"96.183"
"R-HSA-379716"	"Cytosolic tRNA aminoacylation"	"11.192"	"198"	"102.32"	"8.549"
"R-HSA-156580"	"Phase II - Conjugation of compounds"	"11.057"	"220"	"107.46"	"10.178"
"R-HSA-6783984"	"Glycine degradation"	"10.874"	"54"	"13.38"	"3.736"
"WP698"	"Glucuronidation"	"10.248"	"48"	"17.56"	"2.97"
"R-HSA-168249"	"Innate Immune System"	"10.215"	"3602"	"3012.2"	"57.737"
"R-HSA-5365859"	"RA biosynthesis pathway"	"10.07"	"97"	"42.12"	"5.45"
"R-HSA-111459"	"Activation of caspases through apoptosome-mediated cleavage"	"10.008"	"38"	"8.92"	"2.906"
"R-HSA-111461"	"Cytochrome c-mediated apoptotic response"	"10.008"	"38"	"8.92"	"2.906"
