geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
hsa04060	Cytokine-cytokine receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04060+10663+1236+1435+1440+1441+3454+3460+3552+3553+3554+3560+3566+3569+3575+3586+3587+3593+3600+3601+3604+3606+3624+3627+3976+4049+4283+5008+6347+6352+6354+6361+6364+6367+6369+6372+6373+7133+8743+8744+8807+8809+91+9180+92+958+970+9966	248	47	6.496838301716351	7.23428809788654	0	0	10663;1236;1435;1440;1441;3454;3460;3552;3553;3554;3560;3566;3569;3575;3586;3587;3593;3600;3601;3604;3606;3624;3627;3976;4049;4283;5008;6347;6352;6354;6361;6364;6367;6369;6372;6373;7133;8743;8744;8807;8809;91;9180;92;958;970;9966	ENSG00000135503;ENSG00000121989;ENSG00000102970;ENSG00000108691;ENSG00000115009;ENSG00000102962;ENSG00000106178;ENSG00000271503;ENSG00000274233;ENSG00000108688;ENSG00000126353;ENSG00000101017;ENSG00000125726;ENSG00000184371;ENSG00000108342;ENSG00000119535;ENSG00000169245;ENSG00000169248;ENSG00000124875;ENSG00000138755;ENSG00000172215;ENSG00000142166;ENSG00000159128;ENSG00000262795;ENSG00000136634;ENSG00000110324;ENSG00000113302;ENSG00000164136;ENSG00000134470;ENSG00000150782;ENSG00000115604;ENSG00000115607;ENSG00000115008;ENSG00000125538;ENSG00000115594;ENSG00000100385;ENSG00000077238;ENSG00000136244;ENSG00000168685;ENSG00000122641;ENSG00000128342;ENSG00000173503;ENSG00000223919;ENSG00000226275;ENSG00000226979;ENSG00000230279;ENSG00000231408;ENSG00000238130;ENSG00000099985;ENSG00000145623;ENSG00000028137;ENSG00000049249;ENSG00000121858;ENSG00000181634;ENSG00000125657
hsa04668	TNF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04668+1435+1906+3383+3553+3569+3600+3627+3659+3976+4049+4323+4790+4792+5970+6347+6352+6364+6401+64127+7133+8809	108	21	2.829268292682927	7.4224137931034475	2.537969834293108e-13	3.781575053096731e-11	1435;1906;3383;3553;3569;3600;3627;3659;3976;4049;4323;4790;4792;5970;6347;6352;6364;6401;64127;7133;8809	ENSG00000108691;ENSG00000115009;ENSG00000271503;ENSG00000274233;ENSG00000184371;ENSG00000169245;ENSG00000078401;ENSG00000090339;ENSG00000164136;ENSG00000115604;ENSG00000125538;ENSG00000136244;ENSG00000125347;ENSG00000128342;ENSG00000173503;ENSG00000223919;ENSG00000226275;ENSG00000226979;ENSG00000230279;ENSG00000231408;ENSG00000238130;ENSG00000157227;ENSG00000109320;ENSG00000100906;ENSG00000167207;ENSG00000173039;ENSG00000007908;ENSG00000028137
hsa04620	Toll-like receptor signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04620+3454+3553+3569+3593+3627+3665+4283+4790+4792+5970+6352+6373+7096+7097+7098+929+958	95	17	2.4887082204155377	6.830852994555353	2.2541446487167605e-10	2.2391170177253152e-8	3454;3553;3569;3593;3627;3665;4283;4790;4792;5970;6352;6373;7096;7097;7098;929;958	ENSG00000271503;ENSG00000274233;ENSG00000170458;ENSG00000101017;ENSG00000169245;ENSG00000169248;ENSG00000138755;ENSG00000142166;ENSG00000113302;ENSG00000125538;ENSG00000136244;ENSG00000185507;ENSG00000276561;ENSG00000109320;ENSG00000100906;ENSG00000173039;ENSG00000174125;ENSG00000137462;ENSG00000164342
hsa05321	Inflammatory bowel disease (IBD)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05321+3460+3552+3553+3566+3569+3586+3593+3606+4790+5970+64127+7097+8807+8809	62	14	1.6242095754290877	8.619577308120133	3.7778846717628767e-10	2.814524080463343e-8	3460;3552;3553;3566;3569;3586;3593;3606;4790;5970;64127;7097;8807;8809	ENSG00000159128;ENSG00000262795;ENSG00000136634;ENSG00000113302;ENSG00000150782;ENSG00000115604;ENSG00000115607;ENSG00000115008;ENSG00000125538;ENSG00000077238;ENSG00000136244;ENSG00000109320;ENSG00000167207;ENSG00000173039;ENSG00000137462
hsa05164	Influenza A	http://www.kegg.jp/kegg-bin/show_pathway?hsa05164+114548+3383+3454+3460+3552+3553+3569+3593+3606+3627+3665+4790+4792+5610+5894+5970+6347+6352+7098+8743	149	20	3.903342366757001	5.1238139319601945	1.1205549821369232e-9	6.678507693536063e-8	114548;3383;3454;3460;3552;3553;3569;3593;3606;3627;3665;4790;4792;5610;5894;5970;6347;6352;7098;8743	ENSG00000108691;ENSG00000271503;ENSG00000274233;ENSG00000169245;ENSG00000055332;ENSG00000090339;ENSG00000142166;ENSG00000159128;ENSG00000262795;ENSG00000113302;ENSG00000150782;ENSG00000115008;ENSG00000125538;ENSG00000136244;ENSG00000185507;ENSG00000276561;ENSG00000109320;ENSG00000100906;ENSG00000162711;ENSG00000132155;ENSG00000173039;ENSG00000164342;ENSG00000121858
hsa04630	JAK-STAT signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04630+1026+1440+1441+3454+3460+3560+3566+3569+3575+3586+3587+3593+3600+3601+3976+4609+5008+5894+9180	142	19	3.71996386630533	5.1075764934434185	3.2043873110509935e-9	1.59151236448866e-7	1026;1440;1441;3454;3460;3560;3566;3569;3575;3586;3587;3593;3600;3601;3976;4609;5008;5894;9180	ENSG00000124762;ENSG00000108342;ENSG00000119535;ENSG00000142166;ENSG00000159128;ENSG00000262795;ENSG00000136634;ENSG00000110324;ENSG00000113302;ENSG00000164136;ENSG00000134470;ENSG00000100385;ENSG00000077238;ENSG00000136244;ENSG00000168685;ENSG00000128342;ENSG00000136997;ENSG00000099985;ENSG00000145623;ENSG00000132155
hsa05144	Malaria	http://www.kegg.jp/kegg-bin/show_pathway?hsa05144+1440+3383+3553+3569+3586+3606+4233+6347+6401+7097+958	45	11	1.1788617886178863	9.33103448275862	1.2901775536811044e-8	5.492470157099559e-7	1440;3383;3553;3569;3586;3606;4233;6347;6401;7097;958	ENSG00000108691;ENSG00000101017;ENSG00000108342;ENSG00000090339;ENSG00000136634;ENSG00000150782;ENSG00000125538;ENSG00000136244;ENSG00000105976;ENSG00000007908;ENSG00000137462
hsa05133	Pertussis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05133+114548+2773+3552+3553+3569+3586+3593+3659+3678+4790+5970+6372+929	73	13	1.912375790424571	6.79782711384034	3.571945872415938e-8	1.330549837474937e-6	114548;2773;3552;3553;3569;3586;3593;3659;3678;4790;5970;6372;929	ENSG00000170458;ENSG00000124875;ENSG00000065135;ENSG00000136634;ENSG00000113302;ENSG00000115008;ENSG00000125538;ENSG00000136244;ENSG00000125347;ENSG00000161638;ENSG00000109320;ENSG00000162711;ENSG00000173039
hsa04062	Chemokine signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04062+10663+1236+23533+2773+3627+4067+4283+4790+4792+5894+5970+6347+6352+6354+6361+6364+6367+6369+6372+6373	183	20	4.794037940379404	4.171848501978519	4.1579463649910053e-8	1.3383749633888443e-6	10663;1236;23533;2773;3627;4067;4283;4790;4792;5894;5970;6347;6352;6354;6361;6364;6367;6369;6372;6373	ENSG00000102970;ENSG00000108691;ENSG00000115009;ENSG00000102962;ENSG00000106178;ENSG00000271503;ENSG00000274233;ENSG00000108688;ENSG00000126353;ENSG00000169245;ENSG00000169248;ENSG00000124875;ENSG00000138755;ENSG00000172215;ENSG00000065135;ENSG00000254087;ENSG00000109320;ENSG00000100906;ENSG00000141506;ENSG00000132155;ENSG00000173039
hsa05162	Measles	http://www.kegg.jp/kegg-bin/show_pathway?hsa05162+3454+3460+3552+3553+3560+3569+3593+3665+4790+4792+5610+5970+6504+6869+7097+8743	117	16	3.0650406504065044	5.220159151193633	4.491191152311558e-8	1.3383749633888443e-6	3454;3460;3552;3553;3560;3569;3593;3665;4790;4792;5610;5970;6504;6869;7097;8743	ENSG00000055332;ENSG00000142166;ENSG00000159128;ENSG00000262795;ENSG00000113302;ENSG00000115008;ENSG00000125538;ENSG00000100385;ENSG00000136244;ENSG00000185507;ENSG00000276561;ENSG00000109320;ENSG00000100906;ENSG00000173039;ENSG00000117090;ENSG00000115353;ENSG00000137462;ENSG00000121858
hsa04640	Hematopoietic cell lineage	http://www.kegg.jp/kegg-bin/show_pathway?hsa04640+1435+1440+1441+1604+2811+3552+3553+3554+3566+3569+3575+3678+3690+929	93	14	2.4363143631436315	5.746384872080089	9.599507411195418e-8	2.6005938259420316e-6	1435;1440;1441;1604;2811;3552;3553;3554;3566;3569;3575;3678;3690;929	ENSG00000170458;ENSG00000196352;ENSG00000184371;ENSG00000108342;ENSG00000119535;ENSG00000185245;ENSG00000115008;ENSG00000125538;ENSG00000115594;ENSG00000077238;ENSG00000136244;ENSG00000168685;ENSG00000161638;ENSG00000259207
