geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
hsa04350	TGF-beta signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04350+3397+3398+3399+387+4086+4088+4091+4092+57154+64750+650+657+659+7040+7044+7046+7050+7057+90+9241	80	20	0.6214995483288166	32.18023255813954	0	0	3397;3398;3399;387;4086;4088;4091;4092;57154;64750;650;657;659;7040;7044;7046;7050;7057;90;9241	ENSG00000115170;ENSG00000125845;ENSG00000107779;ENSG00000204217;ENSG00000125968;ENSG00000115738;ENSG00000117318;ENSG00000283060;ENSG00000143768;ENSG00000183691;ENSG00000067560;ENSG00000170365;ENSG00000166949;ENSG00000137834;ENSG00000101665;ENSG00000198742;ENSG00000108854;ENSG00000105329;ENSG00000106799;ENSG00000177426;ENSG00000137801
hsa04390	Hippo signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04390+1499+25937+324+3397+3398+4086+4088+4092+5054+5499+650+657+659+7040+7046+999	136	16	1.0565492321589882	15.143638850889193	1.1102230246251565e-15	1.6542323066914832e-13	1499;25937;324;3397;3398;4086;4088;4092;5054;5499;650;657;659;7040;7046;999	ENSG00000134982;ENSG00000125845;ENSG00000107779;ENSG00000204217;ENSG00000039068;ENSG00000168036;ENSG00000125968;ENSG00000115738;ENSG00000172531;ENSG00000106366;ENSG00000170365;ENSG00000166949;ENSG00000101665;ENSG00000105329;ENSG00000106799;ENSG00000018408
hsa04550	Signaling pathways regulating pluripotency of stem cells	http://www.kegg.jp/kegg-bin/show_pathway?hsa04550+1499+324+3397+3398+3399+4086+4088+6498+657+659+7044+90	121	12	0.9400180668473351	12.76571208917932	5.949529757742766e-11	5.909866226024481e-9	1499;324;3397;3398;3399;4086;4088;6498;657;659;7044;90	ENSG00000115170;ENSG00000134982;ENSG00000107779;ENSG00000204217;ENSG00000168036;ENSG00000125968;ENSG00000115738;ENSG00000117318;ENSG00000283060;ENSG00000143768;ENSG00000136603;ENSG00000170365;ENSG00000166949
hsa04520	Adherens junction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04520+1499+387+4088+6885+7046+7082+999	65	7	0.5049683830171635	13.862254025044722	5.116140772143396e-7	3.81152487524683e-5	1499;387;4088;6885;7046;7082;999	ENSG00000039068;ENSG00000168036;ENSG00000135341;ENSG00000067560;ENSG00000166949;ENSG00000106799;ENSG00000104067;ENSG00000277401
hsa05210	Colorectal cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05210+1499+324+387+4088+7040+7046	86	6	0.6681120144534778	8.980530016224987	4.539396764768888e-5	0.0027054804718022575	1499;324;387;4088;7040;7046	ENSG00000134982;ENSG00000168036;ENSG00000067560;ENSG00000166949;ENSG00000105329;ENSG00000106799
hsa05418	Fluid shear stress and atherosclerosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05418+1499+387+657+659+6885+90	122	6	0.9477868112014454	6.330537552420892	3.170856524168375e-4	0.015748587403369596	1499;387;657;659;6885;90	ENSG00000115170;ENSG00000107779;ENSG00000204217;ENSG00000168036;ENSG00000135341;ENSG00000067560
hsa05226	Gastric cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05226+1499+324+4088+7040+7046+999	138	6	1.0720867208672087	5.5965621840242665	6.145584592610609e-4	0.02616263155139945	1499;324;4088;7040;7046;999	ENSG00000134982;ENSG00000039068;ENSG00000168036;ENSG00000166949;ENSG00000105329;ENSG00000106799
hsa05200	Pathways in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05200+1499+3065+324+331+3460+387+4088+650+7040+7046+999	487	11	3.783378500451671	2.907454276300081	9.315728528290768e-4	0.030474297893536485	1499;3065;324;331;3460;387;4088;650;7040;7046;999	ENSG00000134982;ENSG00000125845;ENSG00000039068;ENSG00000168036;ENSG00000116478;ENSG00000159128;ENSG00000262795;ENSG00000067560;ENSG00000166949;ENSG00000105329;ENSG00000106799;ENSG00000101966
hsa05142	Chagas disease (American trypanosomiasis)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05142+3460+4088+5054+7040+7046	101	5	0.784643179765131	6.372323278839512	0.0010171362259256966	0.030474297893536485	3460;4088;5054;7040;7046	ENSG00000159128;ENSG00000262795;ENSG00000106366;ENSG00000166949;ENSG00000105329;ENSG00000106799
hsa04218	Cellular senescence	http://www.kegg.jp/kegg-bin/show_pathway?hsa04218+28996+4088+5054+5499+7040+7046	152	6	1.1808491418247515	5.08108935128519	0.0010226274460918283	0.030474297893536485	28996;4088;5054;5499;7040;7046	ENSG00000064393;ENSG00000172531;ENSG00000106366;ENSG00000166949;ENSG00000105329;ENSG00000106799
