userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000183044	ABAT	4-aminobutyrate aminotransferase	18	https://www.ncbi.nlm.nih.gov/gene/?term=18
ENSG00000114770	ABCC5	ATP binding cassette subfamily C member 5	10057	https://www.ncbi.nlm.nih.gov/gene/?term=10057
ENSG00000100439	ABHD4	abhydrolase domain containing 4	63874	https://www.ncbi.nlm.nih.gov/gene/?term=63874
ENSG00000135503	ACVR1B	activin A receptor type 1B	91	https://www.ncbi.nlm.nih.gov/gene/?term=91
ENSG00000196839	ADA	adenosine deaminase	100	https://www.ncbi.nlm.nih.gov/gene/?term=100
ENSG00000181026	AEN	apoptosis enhancing nuclease	64782	https://www.ncbi.nlm.nih.gov/gene/?term=64782
ENSG00000106992	AK1	adenylate kinase 1	203	https://www.ncbi.nlm.nih.gov/gene/?term=203
ENSG00000179593	ALOX15B	arachidonate 15-lipoxygenase, type B	247	https://www.ncbi.nlm.nih.gov/gene/?term=247
ENSG00000164331	ANKRA2	ankyrin repeat family A member 2	57763	https://www.ncbi.nlm.nih.gov/gene/?term=57763
ENSG00000120868	APAF1	apoptotic peptidase activating factor 1	317	https://www.ncbi.nlm.nih.gov/gene/?term=317
ENSG00000142192	APP	amyloid beta precursor protein	351	https://www.ncbi.nlm.nih.gov/gene/?term=351
ENSG00000162772	ATF3	activating transcription factor 3	467	https://www.ncbi.nlm.nih.gov/gene/?term=467
ENSG00000175866	BAIAP2	BAI1 associated protein 2	10458	https://www.ncbi.nlm.nih.gov/gene/?term=10458
ENSG00000030110	BAK1	BCL2 antagonist/killer 1	578	https://www.ncbi.nlm.nih.gov/gene/?term=578
ENSG00000087088	BAX	BCL2 associated X, apoptosis regulator	581	https://www.ncbi.nlm.nih.gov/gene/?term=581
ENSG00000166619	BLCAP	BLCAP, apoptosis inducing factor	10904	https://www.ncbi.nlm.nih.gov/gene/?term=10904
ENSG00000125845	BMP2	bone morphogenetic protein 2	650	https://www.ncbi.nlm.nih.gov/gene/?term=650
ENSG00000133639	BTG1	BTG anti-proliferation factor 1	694	https://www.ncbi.nlm.nih.gov/gene/?term=694
ENSG00000159388	BTG2	BTG anti-proliferation factor 2	7832	https://www.ncbi.nlm.nih.gov/gene/?term=7832
ENSG00000137752	CASP1	caspase 1	834	https://www.ncbi.nlm.nih.gov/gene/?term=834
ENSG00000118971	CCND2	cyclin D2	894	https://www.ncbi.nlm.nih.gov/gene/?term=894
ENSG00000112576	CCND3	cyclin D3	896	https://www.ncbi.nlm.nih.gov/gene/?term=896
ENSG00000113328	CCNG1	cyclin G1	900	https://www.ncbi.nlm.nih.gov/gene/?term=900
ENSG00000090061	CCNK	cyclin K	8812	https://www.ncbi.nlm.nih.gov/gene/?term=8812
ENSG00000103540	CCP110	centriolar coiled-coil protein 110	9738	https://www.ncbi.nlm.nih.gov/gene/?term=9738
ENSG00000110651	CD81	CD81 molecule	975	https://www.ncbi.nlm.nih.gov/gene/?term=975
ENSG00000085117	CD82	CD82 molecule	3732	https://www.ncbi.nlm.nih.gov/gene/?term=3732
ENSG00000140945	CDH13	cadherin 13	1012	https://www.ncbi.nlm.nih.gov/gene/?term=1012
ENSG00000176749	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1	8851	https://www.ncbi.nlm.nih.gov/gene/?term=8851
ENSG00000124762	CDKN1A	cyclin dependent kinase inhibitor 1A	1026	https://www.ncbi.nlm.nih.gov/gene/?term=1026
ENSG00000147889	CDKN2A	cyclin dependent kinase inhibitor 2A	1029	https://www.ncbi.nlm.nih.gov/gene/?term=1029
ENSG00000168564	CDKN2AIP	CDKN2A interacting protein	55602	https://www.ncbi.nlm.nih.gov/gene/?term=55602
ENSG00000147883	CDKN2B	cyclin dependent kinase inhibitor 2B	1030	https://www.ncbi.nlm.nih.gov/gene/?term=1030
ENSG00000245848	CEBPA	CCAAT enhancer binding protein alpha	1050	https://www.ncbi.nlm.nih.gov/gene/?term=1050
ENSG00000100532	CGRRF1	cell growth regulator with ring finger domain 1	10668	https://www.ncbi.nlm.nih.gov/gene/?term=10668
ENSG00000137975	CLCA2	chloride channel accessory 2	9635	https://www.ncbi.nlm.nih.gov/gene/?term=9635
