userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000107331	ABCA2	ATP binding cassette subfamily A member 2	20	https://www.ncbi.nlm.nih.gov/gene/?term=20
ENSG00000120437	ACAT2	acetyl-CoA acetyltransferase 2	39	https://www.ncbi.nlm.nih.gov/gene/?term=39
ENSG00000131069	ACSS2	acyl-CoA synthetase short chain family member 2	55902	https://www.ncbi.nlm.nih.gov/gene/?term=55902
ENSG00000184009	ACTG1	actin gamma 1	71	https://www.ncbi.nlm.nih.gov/gene/?term=71
ENSG00000198099	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	127	https://www.ncbi.nlm.nih.gov/gene/?term=127
ENSG00000170017	ALCAM	activated leukocyte cell adhesion molecule	214	https://www.ncbi.nlm.nih.gov/gene/?term=214
ENSG00000109107	ALDOC	aldolase, fructose-bisphosphate C	230	https://www.ncbi.nlm.nih.gov/gene/?term=230
ENSG00000163297	ANTXR2	ANTXR cell adhesion molecule 2	118429	https://www.ncbi.nlm.nih.gov/gene/?term=118429
ENSG00000104537	ANXA13	annexin A13	312	https://www.ncbi.nlm.nih.gov/gene/?term=312
ENSG00000164111	ANXA5	annexin A5	308	https://www.ncbi.nlm.nih.gov/gene/?term=308
ENSG00000162772	ATF3	activating transcription factor 3	467	https://www.ncbi.nlm.nih.gov/gene/?term=467
ENSG00000169136	ATF5	activating transcription factor 5	22809	https://www.ncbi.nlm.nih.gov/gene/?term=22809
ENSG00000204842	ATXN2	ataxin 2	6311	https://www.ncbi.nlm.nih.gov/gene/?term=6311
ENSG00000166148	AVPR1A	arginine vasopressin receptor 1A	552	https://www.ncbi.nlm.nih.gov/gene/?term=552
ENSG00000160200	CBS	cystathionine-beta-synthase	875	https://www.ncbi.nlm.nih.gov/gene/?term=875
ENSG00000010278	CD9	CD9 molecule	928	https://www.ncbi.nlm.nih.gov/gene/?term=928
ENSG00000110721	CHKA	choline kinase alpha	1119	https://www.ncbi.nlm.nih.gov/gene/?term=1119
ENSG00000120885	CLU	clusterin	1191	https://www.ncbi.nlm.nih.gov/gene/?term=1191
ENSG00000137449	CPEB2	cytoplasmic polyadenylation element binding protein 2	132864	https://www.ncbi.nlm.nih.gov/gene/?term=132864
ENSG00000283087	CPEB2	cytoplasmic polyadenylation element binding protein 2	132864	https://www.ncbi.nlm.nih.gov/gene/?term=132864
ENSG00000168036	CTNNB1	catenin beta 1	1499	https://www.ncbi.nlm.nih.gov/gene/?term=1499
ENSG00000161921	CXCL16	C-X-C motif chemokine ligand 16	58191	https://www.ncbi.nlm.nih.gov/gene/?term=58191
ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1	1595	https://www.ncbi.nlm.nih.gov/gene/?term=1595
ENSG00000172893	DHCR7	7-dehydrocholesterol reductase	1717	https://www.ncbi.nlm.nih.gov/gene/?term=1717
ENSG00000147155	EBP	EBP, cholestenol delta-isomerase	10682	https://www.ncbi.nlm.nih.gov/gene/?term=10682
ENSG00000104823	ECH1	enoyl-CoA hydratase 1	1891	https://www.ncbi.nlm.nih.gov/gene/?term=1891
ENSG00000282853	ECH1	enoyl-CoA hydratase 1	1891	https://www.ncbi.nlm.nih.gov/gene/?term=1891
ENSG00000116285	ERRFI1	ERBB receptor feedback inhibitor 1	54206	https://www.ncbi.nlm.nih.gov/gene/?term=54206
ENSG00000105755	ETHE1	ETHE1, persulfide dioxygenase	23474	https://www.ncbi.nlm.nih.gov/gene/?term=23474
ENSG00000164687	FABP5	fatty acid binding protein 5	2171	https://www.ncbi.nlm.nih.gov/gene/?term=2171
ENSG00000134824	FADS2	fatty acid desaturase 2	9415	https://www.ncbi.nlm.nih.gov/gene/?term=9415
ENSG00000135842	FAM129A	family with sequence similarity 129 member A	116496	https://www.ncbi.nlm.nih.gov/gene/?term=116496
ENSG00000169710	FASN	fatty acid synthase	2194	https://www.ncbi.nlm.nih.gov/gene/?term=2194
ENSG00000116663	FBXO6	F-box protein 6	26270	https://www.ncbi.nlm.nih.gov/gene/?term=26270
ENSG00000079459	FDFT1	farnesyl-diphosphate farnesyltransferase 1	2222	https://www.ncbi.nlm.nih.gov/gene/?term=2222
ENSG00000160752	FDPS	farnesyl diphosphate synthase	2224	https://www.ncbi.nlm.nih.gov/gene/?term=2224
ENSG00000178445	GLDC	glycine decarboxylase	2731	https://www.ncbi.nlm.nih.gov/gene/?term=2731
ENSG00000127955	GNAI1	G protein subunit alpha i1	2770	https://www.ncbi.nlm.nih.gov/gene/?term=2770
ENSG00000164294	GPX8	glutathione peroxidase 8 (putative)	493869	https://www.ncbi.nlm.nih.gov/gene/?term=493869
ENSG00000213366	GSTM2	glutathione S-transferase mu 2	2946	https://www.ncbi.nlm.nih.gov/gene/?term=2946
